,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26036,0 days 00:57:49.940000,-646.1447317585965,7784.406542171864,1915.4823687004368,160.0,1,0.0,False
26037,0 days 00:57:50.109000,-639.0,7855.0,1916.0,149.437488,1,0.0,False
26038,0 days 00:57:50.180000,-636.0112493105693,7883.093254001413,1916.0019189311618,145.0,1,0.0,False
26039,0 days 00:57:50.269000,-632.0,7917.0,1916.0,138.3249856,1,0.0,False
26040,0 days 00:57:50.340000,-628.3245994123165,7942.983931816285,1916.1691262199274,133.0,1,0.0,False
26041,0 days 00:57:50.509000,-618.0,8001.0,1917.0,125.078116,1,0.0,False
26042,0 days 00:57:50.660000,-607.0783005098087,8048.316923499251,1917.8279871969,118.0,1,0.0,False
26043,0 days 00:57:50.709000,-603.0,8063.0,1918.0,115.89999177142857,1,0.0,False
26044,0 days 00:57:50.929000,-581.0,8125.0,1918.0,106.47142034285714,1,0.0,False
26045,0 days 00:57:50.940000,-579.7611594119332,8127.853192224992,1917.9860167341142,106.0,1,0.0,False
26046,0 days 00:57:51.100000,-560.2022068406715,8166.876561140448,1917.9617638741488,99.0,1,0.0,False
26047,0 days 00:57:51.109000,-559.0,8169.0,1918.0,98.81999616,1,0.0,False
26048,0 days 00:57:51.249000,-539.0,8201.0,1919.0,96.01999616,1,0.0,False
26049,0 days 00:57:51.300000,-531.3360658938815,8211.663568435984,1919.1890413239412,95.0,1,0.0,False
26050,0 days 00:57:51.460000,-505.9385989044094,8241.228288217451,1919.0420165085923,91.0,1,0.0,False
26051,0 days 00:57:51.489000,-501.0,8246.0,1919.0,90.56499712,1,0.0,False
26052,0 days 00:57:51.660000,-469.62641354147206,8270.557906089469,1918.8494724340026,88.0,1,0.0,False
26053,0 days 00:57:51.749000,-452.0,8281.0,1919.0,85.7749952,1,0.0,False
26054,0 days 00:57:51.860000,-428.91703146244777,8291.830938703884,1919.511488380252,83.0,1,0.0,False
26055,0 days 00:57:51.969000,-406.0,8300.0,1920.0,81.18333013333333,1,0.0,False
26056,0 days 00:57:52.220000,-351.407260965405,8311.551629968571,1920.0034134029522,77.0,1,0.0,False
26057,0 days 00:57:52.229000,-349.0,8312.0,1920.0,77.0,1,0.0,False
26058,0 days 00:57:52.419000,-291.92039421593074,8323.181369544658,1920.0096279064821,77.0,1,0.0,False
26059,0 days 00:57:52.449000,-284.0,8325.0,1920.0,77.25000106666667,1,0.0,False
26060,0 days 00:57:52.659000,-245.82198281937454,8337.129874746512,1919.7437108764286,79.0,1,0.0,False
26061,0 days 00:57:52.870000,-219.0,8355.0,1920.0,78.47249984,1,0.0,False
26062,0 days 00:57:53.049000,-192.0,8380.0,1921.0,78.02499968,1,0.0,False
26063,0 days 00:57:53.059000,-190.62202320112485,8381.670944293975,1921.03271348761,78.0,1,0.0,False
26064,0 days 00:57:53.289000,-166.0,8424.0,1921.0,73.6874976,1,0.0,False
26065,0 days 00:57:53.369000,-161.0,8437.0,1921.0,72.1874976,1,0.0,False
26066,0 days 00:57:53.379000,-160.41167086357098,8438.776428509758,1921.0071922505476,72.0,1,0.0,False
26067,0 days 00:57:53.619000,-147.1773005812226,8495.47778811122,1921.6635655132575,73.0,1,0.0,False
26068,0 days 00:57:53.709000,-144.0,8520.0,1922.0,73.90000128,1,0.0,False
26069,0 days 00:57:53.819000,-142.00508436106185,8550.830200174929,1922.415434351274,75.0,1,0.0,False
26070,0 days 00:57:54.029000,-142.0,8604.0,1923.0,75.87137005712732,1,0.0,False
26071,0 days 00:57:54.060000,-142.09543268727478,8609.83483925327,1923.0262883901005,76.0,1,0.0,False
26072,0 days 00:57:54.389000,-146.0,8656.0,1923.0,83.4772770909091,1,0.0,False
26073,0 days 00:57:54.500000,-150.07853959337484,8680.685010102217,1923.4670097437304,86.0,1,0.0,False
26074,0 days 00:57:54.629000,-156.0,8713.0,1924.0,89.2250048,1,0.0,False
26075,0 days 00:57:54.700000,-159.36317920947536,8729.934603285843,1924.0720538076212,91.0,1,0.0,False
26076,0 days 00:57:54.809000,-165.0,8756.0,1924.0,94.63333973333333,1,0.48254040484933597,False
26077,0 days 00:57:55.009000,-178.0,8809.0,1924.0,101.3000064,1,0.460347320860445,False
26078,0 days 00:57:55.060000,-181.62511622318604,8823.12148705474,1924.1591097712574,103.0,1,0.4512959102783228,False
26079,0 days 00:57:55.249000,-196.0,8878.0,1925.0,114.0250112,1,0.3945750686931731,False
26080,0 days 00:57:55.300000,-200.1883406095808,8893.953822576976,1925.0709622236916,117.0,1,0.38950792763971825,False
26081,0 days 00:57:55.429000,-211.0,8935.0,1925.0,123.77251008,1,0.35933656687669907,False
26082,0 days 00:57:55.700000,-235.07535081703205,9025.106684868266,1924.921685549603,138.0,1,0.2902546932657617,False
26083,0 days 00:57:55.729000,-239.0,9040.0,1925.0,139.52251008,1,0.2580257346640426,False
26084,0 days 00:57:55.949000,-274.0,9174.0,1926.0,151.07251008,1,0.16901406010485168,False
26085,0 days 00:57:56.100000,-283.2589752233052,9210.074559039927,1926.0360355270905,159.0,1,0.11939819570654119,False
26086,0 days 00:57:56.209000,-289.0,9234.0,1926.0,159.0,1,0.09688816443819374,False
26087,0 days 00:57:56.260000,-293.38890513130565,9252.414784055158,1926.0524171046713,159.0,1,0.047177684117885095,False
26088,0 days 00:57:56.460000,-319.48973787117706,9362.449805793412,1926.6352497492996,159.0,1,-0.025826142390001833,False
26089,0 days 00:57:56.569000,-333.0,9420.0,1927.0,169.35501824,1,-0.0719201113019488,False
26090,0 days 00:57:56.660000,-342.35115361408737,9460.32307721366,1927.2824099133409,178.0,1,-0.12974387377274868,False
26091,0 days 00:57:56.889000,-363.0,9560.0,1928.0,188.63215177142857,1,-0.17719472510268053,False
26092,0 days 00:57:56.940000,-368.605709243183,9591.26971665705,1928.191996086442,191.0,1,-0.24028018858945516,False
26093,0 days 00:57:57.149000,-393.0,9745.0,1929.0,199.12778524444445,1,-0.3022180880627684,False
26094,0 days 00:57:57.300000,-405.848563627861,9855.245780004596,1929.3780721210285,205.0,1,-0.35964934879395444,False
26095,0 days 00:57:57.569000,-419.0,10028.0,1930.0,214.7138958222222,1,-0.4021393652484376,False
26096,0 days 00:57:57.660000,-421.45717948215037,10073.43890222588,1930.3831568584458,218.0,1,-0.4618486660500017,False
26097,0 days 00:57:57.820000,-423.6307110829489,10140.232596343674,1931.2605200300861,221.0,1,-0.501614295251998,True
26098,0 days 00:57:57.949000,-425.0,10205.0,1932.0,224.94167253333333,1,-0.5550567805034123,True
26099,0 days 00:57:58.169000,-427.0,10346.0,1933.0,231.66389475555556,1,-0.5813835821555484,True
26100,0 days 00:57:58.180000,-427.0182551630751,10353.245935388391,1933.0123340131763,232.0,1,-0.6283624879120565,True
26101,0 days 00:57:58.369000,-426.0,10477.0,1933.0,236.7250048,1,-0.6519966577630403,True
26102,0 days 00:57:58.420000,-425.49865150055183,10510.915567835164,1933.2715140752737,238.0,1,-0.6909112708095861,True
26103,0 days 00:57:58.529000,-424.0,10584.0,1934.0,241.02778311111112,1,-0.7032313467384519,True
26104,0 days 00:57:58.729000,-418.0,10728.0,1934.0,246.58333866666666,1,-0.7442301854999674,True
26105,0 days 00:57:58.780000,-415.3036208163,10775.437999911996,1934.0898343097006,248.0,1,-0.7512527279159428,True
26106,0 days 00:57:58.980000,-400.7230524283661,10990.007315452302,1934.9630212148497,252.0,1,-0.7827239173287611,True
26107,0 days 00:57:58.989000,-400.0,10999.0,1935.0,252.2259461821734,1,-0.799716542935346,True
26108,0 days 00:57:59.219000,-380.22415603600564,11195.91142502352,1935.7070066079352,258.0,1,-0.8404524351167253,True
26109,0 days 00:57:59.430000,-364.0,11323.0,1936.0,262.10277902222225,1,-0.8574473813227521,True
26110,0 days 00:57:59.579000,-355.8400124760861,11383.005774568916,1936.0270601820312,265.0,1,-0.8923200853370828,True
26111,0 days 00:57:59.749000,-344.0,11456.0,1936.0,267.55000192,1,-0.8985846391899566,True
26112,0 days 00:57:59.779000,-340.90107281502833,11473.687963396185,1936.0042312528112,268.0,1,-0.9207948205229824,True
26113,0 days 00:57:59.989000,-312.0,11626.0,1936.0,271.9375024,1,-0.9349804077754287,True
26114,0 days 00:58:00.259000,-263.9731259465239,11826.600795325907,1935.9384498608094,277.0,1,-0.9706980020002872,True
26115,0 days 00:58:00.269000,-262.0,11834.0,1936.0,277.1666688,1,-0.9716650177074502,True
26116,0 days 00:58:00.389000,-237.0,11923.0,1937.0,279.1666688,1,-0.9977917159141466,True
26117,0 days 00:58:00.499000,-210.6328047319052,12006.083562892927,1937.211224360921,281.0,1,-1.0128979276464447,True
26118,0 days 00:58:00.589000,-185.0,12079.0,1937.0,281.9972315119746,1,-1.0243449882950864,True
26119,0 days 00:58:00.860000,-88.0065116710874,12322.013788667875,1936.0056010610786,285.0,1,-1.035942051447092,True
26120,0 days 00:58:00.869000,-85.0,12329.0,1936.0,285.13500288,1,-1.0381355494621554,True
26121,0 days 00:58:01.060000,-29.46454607556497,12449.144518155741,1936.550249895249,288.0,1,-1.0634904290579552,True
26122,0 days 00:58:01.249000,25.0,12551.0,1937.0,290.57727534545455,1,-1.0579741596732706,True
26123,0 days 00:58:01.500000,125.12446233208338,12720.518769614873,1935.9931704452713,294.0,1,-1.0737391997585937,True
26124,0 days 00:58:01.529000,141.0,12745.0,1936.0,294.3625024,1,-1.0718712264680748,True
26125,0 days 00:58:01.729000,272.0,12934.0,1937.0,296.8625024,1,-1.0750910057010068,True
26126,0 days 00:58:01.740000,279.20508626980615,12943.699906424565,1937.0572794665977,297.0,1,-1.0862495131106447,True
26127,0 days 00:58:02.069000,474.0,13174.0,1938.0,298.64500096,1,-1.082548970945579,True
26128,0 days 00:58:02.140000,511.93540727347767,13213.733073337082,1938.0533433626033,299.0,1,-1.0792053813880844,True
26129,0 days 00:58:02.300000,592.6105558997957,13292.676977055115,1937.9989197320695,302.0,1,-1.0699226008435132,True
26130,0 days 00:58:02.549000,720.0,13404.0,1938.0,303.5562512,1,-1.0650294688933386,True
26131,0 days 00:58:02.620000,759.3155652245589,13436.188926786946,1938.1163683524303,304.0,1,-1.0540277220728873,True
26132,0 days 00:58:02.909000,935.0,13570.0,1939.0,306.4083349333333,1,-1.0451939503030712,True
26133,0 days 00:58:02.980000,982.87889123134,13603.881398175447,1939.2622728200856,307.0,1,-1.0258787059693821,True
26134,0 days 00:58:03.140000,1097.3293100846965,13680.731648387826,1939.95338871423,308.0,1,-1.0106924117023293,True
26135,0 days 00:58:03.149000,1104.0,13685.0,1940.0,308.0562512,1,-0.9931793120465771,True
26136,0 days 00:58:03.309000,1236.0,13764.0,1941.0,309.0562512,1,-0.9813585425780892,True
26137,0 days 00:58:03.460000,1424.3390882768624,13862.487603448482,1942.3299001960543,310.0,1,-0.9601283237082198,True
26138,0 days 00:58:03.549000,1527.0,13914.0,1943.0,310.5562512,1,-0.9495893197787975,True
26139,0 days 00:58:03.620000,1589.4396812080288,13944.624366235244,1943.3652933443889,311.0,1,-0.9298685491870723,True
26140,0 days 00:58:03.980000,1760.9067192556565,14013.796773768321,1943.9683703737555,313.0,1,-0.9190848665063726,True
26141,0 days 00:58:03.989000,1767.0,14016.0,1944.0,313.0750016,1,-0.9035665492679978,True
26142,0 days 00:58:04.169000,1914.0,14068.0,1945.0,314.5750016,1,-0.8876076647666162,True
26143,0 days 00:58:04.220000,1957.1172765574377,14082.031086088025,1945.461801995801,315.0,1,-0.8747396312927096,True
26144,0 days 00:58:04.369000,2082.0,14119.0,1947.0,315.0,1,-0.8442418092871963,True
26145,0 days 00:58:04.380000,2091.3028078719854,14121.565983221975,1947.0942649540705,315.0,1,-0.837090152158687,True
26146,0 days 00:58:04.509000,2201.0,14150.0,1948.0,315.64500096,1,-0.7966898306295055,True
26147,0 days 00:58:04.580000,2260.9368398796046,14164.13880902036,1948.4344146986477,316.0,1,-0.7886884885491454,True
26148,0 days 00:58:04.780000,2431.392584591008,14199.472498788278,1949.630412084502,317.0,1,-0.740400145662636,True
26149,0 days 00:58:04.829000,2476.0,14208.0,1950.0,317.0,1,-0.7159706031447548,True
26150,0 days 00:58:05.049000,2684.0,14245.0,1952.0,317.0,1,-0.6824447943755982,True
26151,0 days 00:58:05.060000,2693.6545381137316,14246.587658960914,1952.0988368658052,317.0,1,-0.6667480692290014,True
26152,0 days 00:58:05.260000,2854.0332298109433,14270.564873795962,1953.7122984886096,318.0,1,-0.6444138503712474,True
26153,0 days 00:58:05.309000,2894.0,14276.0,1954.0,318.0,1,-0.6147758767741005,True
26154,0 days 00:58:05.529000,3096.0,14301.0,1955.0,318.0,1,-0.5599121317982937,True
26155,0 days 00:58:05.540000,3107.868765848101,14302.314149678466,1955.08013121834,318.0,1,-0.5554809590934442,True
26156,0 days 00:58:05.700000,3302.2108010125353,14322.209742436367,1956.7504888202366,319.0,1,-0.5096485240130554,True
26157,0 days 00:58:05.830000,3438.0,14335.0,1958.0,318.53404982731473,1,-0.48098217429304735,False
26158,0 days 00:58:05.979000,3527.581520843918,14342.390593637783,1958.664647757334,318.0,1,-0.45556860861550896,False
26159,0 days 00:58:06.090000,3588.0,14347.0,1959.0,318.6937504,1,-0.40405117222340614,False
26160,0 days 00:58:06.139000,3621.396902921054,14349.677312840637,1959.1842710220915,319.0,1,-0.39674642502449914,False
26161,0 days 00:58:06.449000,3896.0,14373.0,1961.0,318.0312496,1,-0.34093080179560775,False
26162,0 days 00:58:06.459000,3904.9578325524103,14373.78948643594,1961.0845148751237,318.0,1,-0.3234962768568104,False
26163,0 days 00:58:06.669000,4091.0,14390.0,1963.0,317.04545396363636,1,-0.2668144940390843,False
26164,0 days 00:58:06.829000,4251.0,14402.0,1964.0,316.3181812363636,1,-0.24733364341545608,False
26165,0 days 00:58:06.899000,4340.792652860637,14408.58287517733,1964.5509118052516,316.0,1,-0.19052833719160214,False
26166,0 days 00:58:07.069000,4568.0,14425.0,1966.0,315.14999936,1,-0.16599216243048673,False
26167,0 days 00:58:07.099000,4597.572134772354,14427.040637044725,1966.1882693207283,315.0,1,-0.08894369996715364,False
26168,0 days 00:58:07.449000,4786.0,14438.0,1967.0,315.0,1,-0.05841155979206785,False
26169,0 days 00:58:07.460000,4793.634364105266,14438.467123890781,1967.004332525397,315.0,1,-0.03717458674386407,False
26170,0 days 00:58:07.629000,4934.0,14447.0,1967.0,313.5916650666667,1,0.0006926932569455898,False
26171,0 days 00:58:07.700000,4995.041444686404,14450.029392192817,1966.9973002014342,313.0,1,0.02147671639749928,False
26172,0 days 00:58:07.829000,5108.0,14455.0,1967.0,313.8062512,1,0.06504437892252384,False
26173,0 days 00:58:07.860000,5136.468093861898,14456.328881599018,1967.0002208446745,314.0,1,0.07987539351491722,False
26174,0 days 00:58:07.989000,5256.0,14462.0,1967.0,313.35499904,1,0.11118818550590745,False
26175,0 days 00:58:08.060000,5316.278892122878,14464.571712069339,1967.0006854222195,313.0,1,0.12301982816661092,False
26176,0 days 00:58:08.169000,5404.0,14468.0,1967.0,313.0,1,0.15028458523690277,False
26177,0 days 00:58:08.220000,5445.400108954781,14469.604034400329,1966.9971330835488,313.0,1,0.17167826550973397,False
26178,0 days 00:58:08.409000,5611.0,14476.0,1967.0,312.2124992,1,0.2077523271651502,False
26179,0 days 00:58:08.460000,5663.739711760295,14478.047925322962,1967.018168263706,312.0,1,0.21684005419515218,False
26180,0 days 00:58:08.729000,5949.0,14489.0,1967.0,272.6106861714286,1,0.28567222646217055,False
26181,0 days 00:58:08.740000,5957.2698102280565,14489.297834347059,1966.9785339963023,271.0,1,0.28453886101373427,False
26182,0 days 00:58:09.049000,6100.0,14494.0,1966.0,240.0999808,1,0.315856222276898,False
26183,0 days 00:58:09.140000,6151.625347428524,14496.108237819568,1965.9284368717506,231.0,1,0.3299901107980615,False
26184,0 days 00:58:09.289000,6245.0,14500.0,1966.0,198.406208,1,0.34138798840910756,False
26185,0 days 00:58:09.300000,6251.369912292996,14500.245598652977,1966.0052580718036,196.0,1,0.32805408768872896,False
26186,0 days 00:58:09.469000,6341.0,14504.0,1966.0,178.25497984,1,0.3480967080792475,False
26187,0 days 00:58:09.500000,6356.53959555219,14505.00870186358,1965.9497653301357,175.0,1,0.34273382650767426,False
26188,0 days 00:58:09.660000,6433.28752110499,14512.228764573536,1965.414932370803,166.0,1,0.3601950365762254,False
26189,0 days 00:58:09.769000,6479.0,14518.0,1965.0,155.55414826666666,1,0.3559125080429465,False
26190,0 days 00:58:09.900000,6525.027117838953,14525.231866747174,1964.5695471800425,143.0,1,0.3635148565696287,False
26191,0 days 00:58:10.189000,6611.0,14546.0,1964.0,131.76110364444443,1,0.35901390695999924,False
26192,0 days 00:58:10.260000,6635.139074304707,14553.343140858118,1963.9791133434737,129.0,1,0.3604961758943534,False
26193,0 days 00:58:10.349000,6665.0,14563.0,1964.0,125.1062416,1,0.35577072957129224,False
26194,0 days 00:58:10.420000,6686.140799707313,14570.225724022934,1964.0333922696477,122.0,1,0.35353050447394624,False
26195,0 days 00:58:10.489000,6708.0,14579.0,1964.0,119.78213668571429,1,0.35016406895267005,False
26196,0 days 00:58:10.700000,6794.541287737401,14623.597557984185,1963.1454597150598,113.0,1,0.33443452975427523,False
26197,0 days 00:58:10.729000,6804.0,14629.0,1963.0,112.4562464,1,0.3327371764221835,False
26198,0 days 00:58:10.860000,6832.31459196559,14647.01771026865,1962.3488002393462,110.0,1,0.3238342096050106,False
26199,0 days 00:58:11.089000,6855.0,14673.0,1962.0,107.54642651428571,1,0.308518792843115,False
26200,0 days 00:58:11.140000,6862.9074188891045,14682.752225298394,1962.2514817777228,107.0,1,0.30107731626504086,False
26201,0 days 00:58:11.289000,6889.0,14718.0,1963.0,105.1374976,1,0.2781296657892985,False
26202,0 days 00:58:11.300000,6890.706323400232,14720.783323980459,1962.9866728849559,105.0,1,0.273999802956285,False
26203,0 days 00:58:11.460000,6911.899704552552,14763.476266788908,1962.0343174825475,105.0,1,0.24250088172019,False
26204,0 days 00:58:11.469000,6913.0,14766.0,1962.0,105.13500288,1,0.235387389458693,False
26205,0 days 00:58:11.649000,6937.0,14820.0,1962.0,107.83500288,1,0.19762613139151305,False
26206,0 days 00:58:11.660000,6938.996480941893,14823.626688138896,1961.9955288556887,108.0,1,0.18611576107366007,False
26207,0 days 00:58:11.980000,7018.95380766918,14933.17994756773,1961.0527060716602,119.0,1,0.11784457231873935,False
26208,0 days 00:58:12.009000,7025.0,14940.0,1961.0,119.43500288,1,0.07790673494475613,False
26209,0 days 00:58:12.180000,7052.266892631444,14965.143253545528,1960.9636043758412,122.0,1,0.049273780518798396,False
26210,0 days 00:58:12.269000,7069.0,14977.0,1961.0,123.1125024,1,0.007902673400563429,False
26211,0 days 00:58:12.420000,7109.894623071872,15004.507070232828,1961.012638378185,125.0,1,-0.011008821981353927,False
26212,0 days 00:58:12.550000,7150.0,15029.0,1961.0,126.81058641816844,1,-0.04515425573986699,False
26213,0 days 00:58:12.729000,7204.0,15056.0,1961.0,129.30362307679144,1,-0.07059230834203288,False
26214,0 days 00:58:12.779000,7220.313123002605,15062.94317076146,1961.0211324014033,130.0,1,-0.08711909937176009,False
26215,0 days 00:58:12.949000,7280.0,15085.0,1961.0,136.3750048,1,-0.13588260555361834,False
26216,0 days 00:58:13.019000,7305.470797484092,15093.090262259904,1960.8033624770565,139.0,1,-0.15339292157189124,False
26217,0 days 00:58:13.189000,7371.0,15111.0,1960.0,144.66667093333334,1,-0.21880068835173838,False
26218,0 days 00:58:13.259000,7400.7693377723745,15118.191011931938,1959.6606933953574,147.0,1,-0.24412327638556344,False
26219,0 days 00:58:13.449000,7483.0,15136.0,1959.0,155.55000576,1,-0.28081385861481883,False
26220,0 days 00:58:13.459000,7486.908587735191,15136.779226256638,1958.9922037751369,156.0,1,-0.3457803059145175,False
26221,0 days 00:58:13.529000,7514.0,15142.0,1959.0,160.375008,1,-0.39820108877343857,False
26222,0 days 00:58:13.699000,7595.631837455732,15157.0254179593,1959.0172189944994,171.0,1,-0.43193477387591805,False
26223,0 days 00:58:13.709000,7601.0,15158.0,1959.0,171.39801517150732,1,-0.46725432130037725,False
26224,0 days 00:58:13.900000,7713.648129347199,15178.276790233198,1958.117382963479,179.0,1,-0.5001307480784002,True
26225,0 days 00:58:14.089000,7821.0,15199.0,1957.0,184.40000548571427,1,-0.5221985786103844,True
26226,0 days 00:58:14.180000,7863.136320766587,15208.35079155239,1956.653470281349,187.0,1,-0.5473469473161094,True
26227,0 days 00:58:14.389000,7975.0,15239.0,1956.0,196.57917546666667,1,-0.5883460239651153,True
26228,0 days 00:58:14.420000,8000.678768748803,15246.660466905169,1955.8578200072438,198.0,1,-0.6352708490009756,True
26229,0 days 00:58:14.589000,8159.0,15295.0,1955.0,201.52083733333333,1,-0.6770833571505003,True
26230,0 days 00:58:14.660000,8207.783438351946,15309.936649899228,1954.7550571902477,203.0,1,-0.7056819782786232,True
26231,0 days 00:58:15.049000,8342.0,15351.0,1954.0,219.79773556363637,1,-0.7573922043080332,True
26232,0 days 00:58:15.100000,8368.833288068468,15359.272113410214,1953.7490057674268,222.0,1,-0.800376287458266,True
26233,0 days 00:58:15.229000,8447.0,15384.0,1953.0,224.76428982857144,1,-0.8397183731022696,True
26234,0 days 00:58:15.380000,8537.054237726554,15415.468643823417,1952.2573760165174,228.0,1,-0.8844604769578328,True
26235,0 days 00:58:15.469000,8590.0,15435.0,1952.0,230.5031304,1,-0.9177085607869054,True
26236,0 days 00:58:15.689000,8723.0,15486.0,1952.0,236.6906304,1,-0.9995242010956933,True
26237,0 days 00:58:15.700000,8729.692462347704,15488.638277596656,1952.004437582402,237.0,1,-1.0398570842399115,True
26238,0 days 00:58:15.849000,8821.0,15525.0,1952.0,238.8625024,1,-1.0753060325916308,True
26239,0 days 00:58:15.940000,8878.169223845767,15547.46662696527,1951.872437406746,240.0,1,-1.1131368382574336,True
26240,0 days 00:58:16.100000,8979.868674248379,15586.463196559374,1951.3646887071948,243.0,1,-1.1649105175549685,True
26241,0 days 00:58:16.169000,9022.0,15602.0,1951.0,243.5750016,1,-1.1859388043416508,True
26242,0 days 00:58:16.329000,9124.0,15638.0,1950.0,244.90833493333332,1,-1.2251764626803703,True
26243,0 days 00:58:16.460000,9250.104933115159,15681.511382410321,1949.8363004862708,246.0,1,-1.2710322933461076,True
26244,0 days 00:58:16.589000,9371.0,15723.0,1950.0,247.93500288,1,-1.3228246472184955,True
26245,0 days 00:58:16.660000,9416.35785237569,15738.512252480072,1950.0630113947543,249.0,1,-1.332104033839177,True
26246,0 days 00:58:16.909000,9502.0,15767.0,1950.0,250.7785728,1,-1.385110619619448,True
26247,0 days 00:58:16.940000,9513.36619682409,15770.63102642546,1949.9359252648126,251.0,1,-1.367975091790173,True
26248,0 days 00:58:17.900000,10096.445623437145,15884.951098311949,1942.4788987262314,211.0,1,-1.5425436220672852,True
26249,0 days 00:58:18.049000,10208.0,15867.0,1941.0,205.6194375111111,1,-1.5615752799864542,True
26250,0 days 00:58:18.260000,10360.835009062675,15821.84912838316,1939.0603285987775,198.0,1,-1.5856682109737912,True
26251,0 days 00:58:18.269000,10366.0,15820.0,1939.0,197.8312464,1,-1.5961969607434128,True
26252,0 days 00:58:18.420000,10429.717100877522,15793.020505076702,1938.3578689724602,195.0,1,-1.59896332262766,True
26253,0 days 00:58:18.580000,10481.442516636464,15760.402260041632,1938.0232200389237,194.0,1,-1.6199334819670368,True
26254,0 days 00:58:18.589000,10485.0,15758.0,1938.0,193.8392822857143,1,-1.6219187664194958,True
26255,0 days 00:58:18.860000,10615.708727204403,15658.07064506124,1937.110300797031,189.0,1,-1.643613212867159,True
26256,0 days 00:58:18.890000,10630.0,15644.0,1937.0,189.22500096,1,-1.6501598777971154,True
26257,0 days 00:58:19.250000,10766.0,15461.0,1936.0,191.92500096,1,-1.6475973483405566,True
26258,0 days 00:58:19.260000,10768.33524461108,15457.368441360504,1936.0059107822633,192.0,1,-1.6879328884103921,True
26259,0 days 00:58:19.589000,10816.0,15357.0,1937.0,198.59649401961,1,-1.6792150636627512,True
26260,0 days 00:58:19.659000,10830.24287509425,15313.719629294043,1937.1095668647672,200.0,1,-1.6925072177335776,True
26261,0 days 00:58:19.889000,10883.0,15138.0,1937.0,206.57143222857144,1,-1.6688200985851145,True
26262,0 days 00:58:19.939000,10890.627711568952,15108.71760532769,1936.8973472401378,208.0,1,-1.6852604779995937,True
26263,0 days 00:58:20.139000,10905.37056061224,15029.513748024687,1936.251661886099,213.0,1,-1.6777882559817374,True
26264,0 days 00:58:20.289000,10914.0,14962.0,1936.0,215.3364510577348,1,-1.704972026186759,True
26265,0 days 00:58:20.429000,10925.0,14877.0,1936.0,217.5171368507687,1,-1.6813660674591584,True
26266,0 days 00:58:20.460000,10927.262719851562,14857.67298996253,1935.9324403968503,218.0,1,-1.7243849983456059,True
26267,0 days 00:58:20.629000,10938.0,14753.0,1935.0,224.3375072,1,-1.7110425186188283,True
26268,0 days 00:58:20.780000,10947.029149595272,14658.35022421851,1933.5697539625232,230.0,1,-1.7089657110811751,True
26269,0 days 00:58:20.869000,10952.0,14600.0,1933.0,232.2250048,1,-1.6728073761481903,True
26270,0 days 00:58:20.940000,10955.702257686995,14551.3840201291,1932.8817376675331,234.0,1,-1.7079428562513301,True
26271,0 days 00:58:21.049000,10961.0,14477.0,1933.0,235.90750336,1,-1.6768899687920318,True
26272,0 days 00:58:21.229000,10969.0,14365.0,1933.0,239.05750336,1,-1.6851032043983853,True
26273,0 days 00:58:21.340000,10973.530303208554,14291.932628400717,1932.99919624091,241.0,1,-1.6628397852960084,True
26274,0 days 00:58:21.449000,10978.0,14218.0,1933.0,242.09000192,1,-1.6370646397186113,True
26275,0 days 00:58:21.540000,10981.978934912293,14156.561976773406,1932.9869706439806,243.0,1,-1.6417560146647427,True
26276,0 days 00:58:21.769000,10993.0,14002.0,1933.0,245.8625024,1,-1.5926967289045766,True
26277,0 days 00:58:21.969000,11004.0,13865.0,1933.0,248.3625024,1,-1.6031617939244251,True
26278,0 days 00:58:22.020000,11007.159120529634,13829.878051131318,1932.765278607874,249.0,1,-1.5783558006236134,True
26279,0 days 00:58:22.169000,11017.0,13727.0,1932.0,250.59643062857143,1,-1.565108442213023,True
26280,0 days 00:58:22.300000,11025.7059873517,13636.380855532432,1932.6141081918631,252.0,1,-1.5433962708772977,True
26281,0 days 00:58:22.409000,11033.0,13560.0,1933.0,252.6812512,1,-1.5512717544740524,True
26282,0 days 00:58:22.460000,11036.44400624692,13523.725899131283,1932.8399243817353,253.0,1,-1.5206478966507615,True
26283,0 days 00:58:22.589000,11045.0,13434.0,1932.0,253.5375008,1,-1.4899718105472703,True
26284,0 days 00:58:22.700000,11051.725417101186,13365.032814975475,1931.8341458683913,254.0,1,-1.4580875384864072,True
26285,0 days 00:58:22.769000,11056.0,13308.0,1932.0,246.75497984,1,-1.4503730114796738,True
26286,0 days 00:58:22.900000,11064.602301891022,13150.522330327904,1932.7690521083114,233.0,1,-1.4471224874431607,True
26287,0 days 00:58:22.949000,11067.0,13099.0,1933.0,233.0,1,-1.449812122038331,True
26288,0 days 00:58:23.100000,11069.627528080397,13013.049453791264,1933.1012832799456,233.0,1,-1.28295095211994,True
26289,0 days 00:58:23.309000,11064.0,12973.0,1932.0,208.1812272,1,-1.25368252068995,True
26290,0 days 00:58:23.420000,11058.223445018353,12926.409516683772,1930.9995176441691,195.0,1,-1.2155998190729984,True
26291,0 days 00:58:23.620000,11038.39573185841,12813.151456828751,1929.0632599585228,187.0,1,-1.2257048858830284,True
26292,0 days 00:58:23.629000,11037.0,12808.0,1929.0,186.7749952,1,-1.209241326906913,True
26293,0 days 00:58:23.869000,10987.0,12678.0,1928.0,180.7749952,1,-1.196297048059119,True
