,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26742,0 days 00:59:13.456000,-5025.0,-6224.0,1764.0,95.75555555555556,1,0.0,False
26743,0 days 00:59:13.696000,-4937.0,-6247.0,1760.0,95.08888888888889,1,0.0,False
26744,0 days 00:59:13.728000,-4927.9336235480705,-6248.811607386804,1759.5552063984237,95.0,1,0.0,False
26745,0 days 00:59:14.036000,-4871.0,-6252.0,1756.0,97.8875,1,0.0,False
26746,0 days 00:59:14.048000,-4868.229958641545,-6251.892609330049,1755.8153816821555,98.0,1,0.0,False
26747,0 days 00:59:14.256000,-4810.0,-6248.0,1752.0,101.9,1,0.0,False
26748,0 days 00:59:14.368000,-4776.96176050119,-6243.410307023649,1749.8983913988664,104.0,1,0.0,False
26749,0 days 00:59:14.416000,-4763.0,-6241.0,1749.0,105.46260413741459,1,0.0,False
26750,0 days 00:59:14.617000,-4703.0,-6227.0,1745.0,111.58725701269931,1,0.0,False
26751,0 days 00:59:14.729000,-4660.313093755852,-6213.036805311556,1742.132202380831,115.0,1,0.0,False
26752,0 days 00:59:14.929000,-4574.95563989504,-6180.456344884567,1736.4585705250029,120.0,1,0.0,False
26753,0 days 00:59:14.997000,-4552.0,-6171.0,1735.0,122.69166666666666,1,0.0,False
26754,0 days 00:59:15.337000,-4472.0,-6132.0,1730.0,136.15,1,0.0,False
26755,0 days 00:59:15.409000,-4448.653123671394,-6119.986628409593,1728.1512267226478,139.0,1,0.0,False
26756,0 days 00:59:15.557000,-4395.0,-6092.0,1724.0,141.11428571428573,1,0.0,False
26757,0 days 00:59:15.689000,-4347.767365576808,-6066.070709638361,1721.2290367653895,143.0,1,0.0,False
26758,0 days 00:59:15.697000,-4344.0,-6064.0,1721.0,143.6,1,0.0,False
26759,0 days 00:59:15.889000,-4219.818607519631,-5996.167097226828,1712.8610515030682,158.0,1,0.0,False
26760,0 days 00:59:15.937000,-4192.0,-5981.0,1711.0,160.53333333333333,1,0.0,False
26761,0 days 00:59:16.249000,-4108.566966643479,-5935.767447114484,1705.4491577557374,177.0,1,0.0,False
26762,0 days 00:59:16.437000,-4033.0,-5898.0,1701.0,183.58,1,0.0,False
26763,0 days 00:59:16.449000,-4025.5977415598622,-5894.322450757316,1700.5686639824403,184.0,1,0.0,False
26764,0 days 00:59:16.597000,-3914.0,-5840.0,1694.0,184.0,1,0.0,False
26765,0 days 00:59:16.648000,-3871.511648204616,-5820.647387031203,1691.3873860430124,184.0,1,0.0,False
26766,0 days 00:59:16.797000,-3752.0,-5769.0,1684.0,195.1749952,1,0.0,False
26767,0 days 00:59:16.848000,-3720.2395025125334,-5755.479400083045,1682.2228800166602,199.0,1,0.0,False
26768,0 days 00:59:17.008000,-3654.3261605909156,-5727.95601499655,1679.439600450435,205.0,1,0.0,False
26769,0 days 00:59:17.248000,-3574.2784777054367,-5694.814298814505,1677.1745828454043,211.0,1,0.0,False
26770,0 days 00:59:17.257000,-3570.0,-5693.0,1677.0,211.28928365714285,1,0.0,False
26771,0 days 00:59:17.417000,-3482.0,-5655.0,1673.0,216.4321408,1,0.0,False
26772,0 days 00:59:17.528000,-3418.450385062158,-5625.905456422268,1669.8228159058087,220.0,1,0.0,False
26773,0 days 00:59:17.637000,-3360.0,-5598.0,1667.0,222.7249984,1,0.0,False
26774,0 days 00:59:17.808000,-3271.8648113057075,-5551.938018152901,1663.7034085466753,227.0,1,0.0,False
26775,0 days 00:59:17.836000,-3250.0,-5539.0,1663.0,227.35,1,0.0,False
26776,0 days 00:59:17.968000,-3113.8999385359075,-5454.261810477247,1658.8073201668308,229.0,1,0.0,False
26777,0 days 00:59:17.996000,-3087.0,-5437.0,1658.0,229.56,1,0.0,False
26778,0 days 00:59:18.168000,-2973.587023255796,-5359.952718376585,1654.7666647950555,233.0,1,0.0,False
26779,0 days 00:59:18.408000,-2899.0134828683804,-5291.574166674804,1653.3378699595355,240.0,1,0.0,False
26780,0 days 00:59:18.456000,-2879.0,-5272.0,1653.0,240.5142857142857,1,0.0,False
26781,0 days 00:59:18.688000,-2752.845591189568,-5146.075642332341,1650.9680579869314,243.0,1,0.0,False
26782,0 days 00:59:18.848000,-2663.101578365577,-5049.667461971691,1650.0229157632943,247.0,1,1.1551878779244789,True
26783,0 days 00:59:18.856000,-2659.0,-5045.0,1650.0,247.12,1,1.1585327452193246,True
26784,0 days 00:59:19.048000,-2571.57989852966,-4937.350828289147,1650.1454887634331,250.0,1,1.1855635219655374,True
26785,0 days 00:59:19.316000,-2479.0,-4807.0,1651.0,255.2111111111111,1,1.2283893850297618,True
26786,0 days 00:59:19.408000,-2453.065980842441,-4769.648187287761,1650.917961715177,257.0,1,1.238375643922131,True
26787,0 days 00:59:19.636000,-2390.0,-4678.0,1651.0,256.1857142857143,1,1.2629446439477536,True
26788,0 days 00:59:19.688000,-2372.0677474743125,-4652.199468947012,1651.4511791281982,256.0,1,1.2695204097657515,True
26789,0 days 00:59:19.816000,-2322.0,-4580.0,1653.0,242.56,1,1.2915620874059373,True
26790,0 days 00:59:19.888000,-2290.5977912450417,-4534.030666818864,1653.8075077364201,235.0,1,1.3063524420633048,True
26791,0 days 00:59:20.048000,-2219.0748452494636,-4427.329951515082,1655.461689442899,216.0,1,1.3372362432652025,True
26792,0 days 00:59:20.096000,-2202.0,-4401.0,1656.0,213.84,1,1.3399453864455362,True
26793,0 days 00:59:20.248000,-2164.513734214361,-4339.530876427409,1657.8860267603768,207.0,1,1.3568269832941762,True
26794,0 days 00:59:20.436000,-2138.0,-4286.0,1660.0,184.84285714285716,1,1.3634323337564052,True
26795,0 days 00:59:20.528000,-2125.772949017062,-4257.48935984289,1660.6565736831712,174.0,1,1.36723779378006,True
26796,0 days 00:59:20.776000,-2097.0,-4153.0,1662.0,162.375,1,1.3740105236645734,True
26797,0 days 00:59:20.848000,-2090.720534537411,-4106.025065827156,1662.6536811763137,159.0,1,1.3675798739026213,True
26798,0 days 00:59:20.976000,-2083.0,-4022.0,1664.0,155.01246026416652,1,1.368860863550778,True
26799,0 days 00:59:21.169000,-2082.88430298079,-3962.18338465469,1665.887672342884,149.0,1,1.349223985462269,True
26800,0 days 00:59:21.277000,-2084.0,-3939.0,1667.0,146.6,1,1.3439945995076592,True
26801,0 days 00:59:21.529000,-2088.947967324092,-3853.9909425764426,1671.0991606683979,141.0,1,1.3257023181484313,True
26802,0 days 00:59:21.577000,-2097.0,-3824.0,1673.0,139.8,1,1.3075584892193062,True
26803,0 days 00:59:21.697000,-2127.0,-3735.0,1679.0,136.8,1,1.2807060934564563,True
26804,0 days 00:59:21.729000,-2133.2833681242173,-3717.6639197673426,1680.1042563467865,136.0,1,1.2489741315339102,True
26805,0 days 00:59:22.009000,-2157.8429610585795,-3678.253151042448,1680.9621260405213,135.0,1,1.2234430437386412,True
26806,0 days 00:59:22.017000,-2159.0,-3677.0,1681.0,135.02857142857144,1,1.1926944900610357,True
26807,0 days 00:59:22.289000,-2224.900335724479,-3600.3489825765387,1685.1447559301105,136.0,1,1.1256595971465742,True
26808,0 days 00:59:22.337000,-2239.0,-3586.0,1686.0,136.3,1,1.0734256552545958,True
26809,0 days 00:59:22.449000,-2272.9508057027683,-3555.3916839576805,1687.8531784627382,137.0,1,1.0178503943628348,True
26810,0 days 00:59:22.617000,-2326.0,-3515.0,1690.0,141.2,1,0.9620186070791895,True
26811,0 days 00:59:22.649000,-2336.2768903938277,-3507.6881209380267,1690.275412235009,142.0,1,0.9249980439047784,True
26812,0 days 00:59:22.717000,-2360.0,-3491.0,1691.0,143.7,1,0.8015588687943278,True
26813,0 days 00:59:22.929000,-2467.72061293962,-3412.0754657004863,1697.8707740495495,149.0,1,0.6763715047211414,True
26814,0 days 00:59:22.997000,-2497.0,-3390.0,1700.0,150.98333333333332,1,0.5811523010054588,True
26815,0 days 00:59:23.169000,-2539.5726561096426,-3356.012755958911,1703.2694619454228,156.0,1,0.5341464317617859,True
26816,0 days 00:59:23.337000,-2571.0,-3325.0,1706.0,162.55153086546525,1,0.40984237430847464,False
26817,0 days 00:59:23.528000,-2631.651933956521,-3261.0301977258996,1711.4368920336924,170.0,1,0.31173757121393536,False
26818,0 days 00:59:23.597000,-2654.0,-3235.0,1714.0,171.2937488,1,0.24065569551415228,False
26819,0 days 00:59:23.688000,-2681.099989306439,-3200.337573819793,1717.84629519415,173.0,1,0.1679335480976587,False
26820,0 days 00:59:23.737000,-2695.0,-3181.0,1720.0,174.46999808,1,0.11484406003945449,False
26821,0 days 00:59:23.888000,-2735.9017850934865,-3117.3056397603805,1726.5202819623573,179.0,1,0.01259719850156564,False
26822,0 days 00:59:23.957000,-2753.0,-3088.0,1729.0,182.0187472,1,-0.09598619250897768,False
26823,0 days 00:59:24.197000,-2811.0,-2974.0,1736.0,192.5187472,1,-0.14856479788429458,False
26824,0 days 00:59:24.208000,-2814.4955565172727,-2966.4999440050224,1736.496088797559,193.0,1,-0.2287181133659536,False
26825,0 days 00:59:24.408000,-2886.3806362118944,-2807.799336116644,1747.6098017066429,199.0,1,-0.3553192187654165,False
26826,0 days 00:59:24.417000,-2889.0,-2802.0,1748.0,199.2249984,1,-0.39458533502477705,False
26827,0 days 00:59:24.648000,-2927.3581863010704,-2718.4940687359767,1752.5503910929824,205.0,1,-0.47801446023211663,False
26828,0 days 00:59:24.776000,-2947.0,-2677.0,1755.0,209.8,1,-0.5355601875921058,True
26829,0 days 00:59:24.808000,-2953.444919265429,-2663.365836738044,1755.9467769104253,211.0,1,-0.6250005530639609,True
26830,0 days 00:59:25.048000,-3015.83081356075,-2531.556659857892,1765.693600731655,215.0,1,-0.7141077846298236,True
26831,0 days 00:59:25.056000,-3018.0,-2527.0,1766.0,215.28,1,-0.7748564173879984,True
26832,0 days 00:59:25.248000,-3068.9659665258137,-2420.27782143389,1772.7072186563553,222.0,1,-0.8517161055214983,True
26833,0 days 00:59:25.256000,-3071.0,-2416.0,1773.0,222.13333333333333,1,-0.8824749722083415,True
26834,0 days 00:59:25.436000,-3116.0,-2321.0,1780.0,225.13333333333333,1,-0.9716974467611909,True
26835,0 days 00:59:25.488000,-3130.072662543131,-2291.513197536447,1781.91931618373,226.0,1,-0.9983755591470703,True
26836,0 days 00:59:25.636000,-3171.0,-2206.0,1787.0,229.33,1,-1.0932805138925448,True
26837,0 days 00:59:25.888000,-3239.6869906261995,-2060.9318888698513,1796.5384105940109,235.0,1,-1.1518879637788233,True
26838,0 days 00:59:25.896000,-3243.0,-2054.0,1797.0,235.2,1,-1.1896727844741701,True
26839,0 days 00:59:26.048000,-3318.384076303827,-1897.0692498024155,1807.4078208351425,239.0,1,-1.2507532709551878,True
26840,0 days 00:59:26.076000,-3330.0,-1873.0,1809.0,239.35,1,-1.2774195648995958,True
26841,0 days 00:59:26.288000,-3372.0235952099442,-1786.6496055544376,1814.6584800818819,242.0,1,-1.3279660307570618,True
26842,0 days 00:59:26.396000,-3388.0,-1749.0,1817.0,244.7,1,-1.347240581277709,True
26843,0 days 00:59:26.528000,-3418.1958732156104,-1673.085832797353,1821.6762435717442,248.0,1,-1.3852618785347048,True
26844,0 days 00:59:26.696000,-3460.0,-1558.0,1829.0,246.32,1,-1.4088618071760928,True
26845,0 days 00:59:26.728000,-3466.2867594147806,-1538.2355987785609,1830.334949893159,246.0,1,-1.4193919223720257,True
26846,0 days 00:59:26.816000,-3481.0,-1481.0,1834.0,244.68,1,-1.4281590179841634,True
26847,0 days 00:59:26.928000,-3495.224743171642,-1376.9012296358683,1839.0336599122363,243.0,1,-1.4414028862241686,True
26848,0 days 00:59:27.096000,-3507.0,-1206.0,1846.0,239.4,1,-1.4482306307361743,True
26849,0 days 00:59:27.208000,-3508.2437446476183,-1131.8301344980202,1848.9697838427833,237.0,1,-1.4488680159033378,True
26850,0 days 00:59:27.448000,-3495.6612780066503,-1050.1513221056582,1852.059047275606,234.0,1,-1.4375430240600475,True
26851,0 days 00:59:27.516000,-3490.0,-1024.0,1853.0,233.35315096147642,1,-1.4341001776016722,True
26852,0 days 00:59:28.157000,-3373.0,-639.0,1866.0,227.2556481336046,1,-1.4104221954544485,True
26853,0 days 00:59:28.289000,-3320.1722136124554,-543.1280724485395,1868.9217165780874,226.0,1,-1.373079603837379,True
26854,0 days 00:59:28.489000,-3218.306947605886,-403.7494088516206,1872.6576732492522,227.0,1,-1.3405361585439632,True
26855,0 days 00:59:28.517000,-3202.0,-387.0,1873.0,227.23333333333332,1,-1.3249816124917502,True
26856,0 days 00:59:28.729000,-3062.4025382387454,-283.67385924705167,1874.0795403514455,229.0,1,-1.2737616703220214,True
26857,0 days 00:59:28.917000,-2953.0,-225.0,1874.0,229.0,1,-1.2219432242014479,True
26858,0 days 00:59:28.969000,-2930.8237106292627,-213.97737302060324,1873.9844518698737,229.0,1,-1.2079717311016789,True
26859,0 days 00:59:29.169000,-2874.297144592558,-190.7101863123924,1873.9125361209394,237.0,1,-1.18192438510397,True
26860,0 days 00:59:29.337000,-2777.0,-153.0,1873.0,237.84,1,-1.143738827210694,True
26861,0 days 00:59:29.369000,-2748.5356013992873,-141.60094089882782,1872.6909955700758,238.0,1,-1.123054900689134,True
26862,0 days 00:59:29.517000,-2602.0,-82.0,1871.0,241.7,1,-1.0667724558911493,True
26863,0 days 00:59:29.529000,-2592.518723541022,-78.07242223333257,1870.8835216646212,242.0,1,-1.042222570552874,True
26864,0 days 00:59:29.729000,-2502.7426047190156,-38.75161750947141,1869.5918229090294,246.0,1,-1.0103856245953764,True
26865,0 days 00:59:29.857000,-2452.0,-15.0,1869.0,247.6,1,-0.9618361501681025,True
26866,0 days 00:59:29.969000,-2386.381646703869,15.146001048719176,1868.453004876227,249.0,1,-0.938591849830152,True
26867,0 days 00:59:30.037000,-2339.0,37.0,1868.0,250.02512529845217,1,-0.9020266663613902,True
26868,0 days 00:59:30.168000,-2234.784487944545,85.61327700006073,1866.7110668900089,252.0,1,-0.8589026792008039,True
26869,0 days 00:59:30.397000,-2056.0,170.0,1864.0,255.6431808,1,-0.8015835114742398,True
26870,0 days 00:59:30.608000,-1961.0079460044149,215.4092580573357,1862.3930397321485,259.0,1,-0.7369602809545542,True
26871,0 days 00:59:30.677000,-1926.0,232.0,1862.0,259.73928502857143,1,-0.7173228304672943,True
26872,0 days 00:59:30.877000,-1794.0,294.0,1861.0,261.8821421714286,1,-0.6475524062327561,True
26873,0 days 00:59:30.888000,-1786.6521495582274,297.45564070237015,1860.9333828138413,262.0,1,-0.6404465017416923,True
26874,0 days 00:59:31.168000,-1603.1915037377642,384.2800463336489,1858.5533334021027,267.0,1,-0.5481704998482786,True
26875,0 days 00:59:31.216000,-1566.0,402.0,1858.0,267.53333333333336,1,-0.5149281686972805,True
26876,0 days 00:59:31.456000,-1363.0,499.0,1855.0,270.2,1,-0.436862188236184,False
26877,0 days 00:59:31.528000,-1317.4375869033086,520.7519321553286,1854.4294998169003,271.0,1,-0.36948832748381366,False
26878,0 days 00:59:31.728000,-1220.756628478681,567.5024922952352,1853.536439586275,274.0,1,-0.34166266534416045,False
26879,0 days 00:59:31.796000,-1172.0,592.0,1853.0,275.02,1,-0.26887351707361784,False
26880,0 days 00:59:31.928000,-1043.970723951523,657.2948196755207,1851.4336616687117,277.0,1,-0.22225757033526256,False
26881,0 days 00:59:32.036000,-936.0,713.0,1850.0,277.54,1,-0.16900846882494988,False
26882,0 days 00:59:32.128000,-859.4013018186159,753.0281738014806,1848.8878716192162,278.0,1,-0.13880056128272802,False
26883,0 days 00:59:32.436000,-688.0,845.0,1846.0,280.56666666666666,1,-0.06804167831216151,False
26884,0 days 00:59:32.488000,-667.2028314828516,856.188495969171,1845.6672709091283,281.0,1,-0.033238654877771716,False
26885,0 days 00:59:32.736000,-550.0,919.0,1844.0,282.77142857142854,1,0.01816407603600642,False
26886,0 days 00:59:32.768000,-522.269856824664,933.8541438730327,1843.6156679383578,283.0,1,0.04517694440018613,False
26887,0 days 00:59:33.008000,-261.7292589914369,1073.3982562185865,1840.0841632974948,287.0,1,0.13688923833155642,False
26888,0 days 00:59:33.016000,-255.0,1077.0,1840.0,287.03333333333336,1,0.18777032023322388,False
26889,0 days 00:59:33.248000,-148.1651721597779,1134.0582550950132,1838.9914000677027,288.0,1,0.25395266987101683,False
26890,0 days 00:59:33.408000,-76.25721341411733,1172.210240159186,1838.0818486923558,289.0,1,0.2879270669476943,False
26891,0 days 00:59:33.416000,-71.0,1175.0,1838.0,289.04,1,0.3181690120717053,False
26892,0 days 00:59:33.608000,96.76113451807922,1264.0449159750074,1835.1408957776425,290.0,1,0.4393283212796304,False
26893,0 days 00:59:33.696000,170.0,1303.0,1834.0,290.3666666666667,1,0.5387047562667651,True
26894,0 days 00:59:33.848000,262.122422806105,1352.223992466674,1832.9905854464514,291.0,1,0.5966303910231884,True
26895,0 days 00:59:33.996000,355.0,1399.0,1832.0,292.23333333333335,1,0.6850522244241471,True
26896,0 days 00:59:34.088000,436.1297664302855,1437.5960423089975,1830.8098308203173,293.0,1,0.7846639650115276,True
26897,0 days 00:59:34.329000,674.0304121825235,1546.354836624908,1827.0761366257457,282.0,1,0.9862186837431245,True
26898,0 days 00:59:34.337000,680.0,1549.0,1827.0,281.0857142857143,1,1.0561986864099295,True
26899,0 days 00:59:34.609000,808.6596684850708,1601.902985598834,1826.2801103119743,250.0,1,1.2271217257979585,True
26900,0 days 00:59:34.697000,855.0,1620.0,1826.0,242.14285714285714,1,1.2887327569070945,True
26901,0 days 00:59:34.889000,994.7892779414303,1675.8137709754585,1824.5606408927113,225.0,1,1.4678620841042134,True
26902,0 days 00:59:34.957000,1043.0,1696.0,1824.0,216.84,1,1.6103891736569882,True
26903,0 days 00:59:35.089000,1122.6343759818294,1731.5677972508324,1823.0255405082069,201.0,1,1.8209250860222115,True
26904,0 days 00:59:35.249000,1196.147104357039,1767.802880778068,1822.1514289846275,192.0,1,1.895940047446156,True
26905,0 days 00:59:35.297000,1214.0,1777.0,1822.0,186.0,1,1.9657154630022835,True
26906,0 days 00:59:35.449000,1257.8913848842724,1800.9867216931564,1821.8672172863417,167.0,1,2.052342277513073,True
26907,0 days 00:59:35.689000,1308.74763619732,1837.039491782402,1821.2907868087216,153.0,1,2.112886573850277,True
26908,0 days 00:59:35.717000,1316.0,1843.0,1821.0,151.13333333333333,1,2.159147668086774,True
26909,0 days 00:59:35.797000,1338.0,1862.0,1820.0,145.8,1,2.2106357776137915,True
26910,0 days 00:59:35.929000,1371.8647416728622,1896.680890060351,1819.1609314984391,137.0,1,2.2803258543805276,True
26911,0 days 00:59:36.157000,1419.0,1959.0,1819.0,130.66666666666666,1,2.341408686627129,True
26912,0 days 00:59:36.289000,1438.5384194580056,1993.80822674008,1818.3088110246754,127.0,1,2.422298950063466,True
26913,0 days 00:59:36.337000,1445.0,2014.0,1818.0,125.8,1,2.444749434866256,True
26914,0 days 00:59:36.497000,1464.0,2111.0,1817.0,121.8,1,2.5399136618895697,True
26915,0 days 00:59:36.769000,1465.6296248751353,2177.366131600246,1816.881010020253,115.0,1,2.5842297488236747,True
26916,0 days 00:59:36.937000,1456.0,2207.0,1817.0,113.73684230787492,1,2.6114733787097135,True
26917,0 days 00:59:37.097000,1444.0,2257.0,1817.0,112.53383498204151,1,2.62671513249457,True
26918,0 days 00:59:37.168000,1436.8276279698955,2278.7123187386487,1817.352944974074,112.0,1,2.6378897258721206,True
26919,0 days 00:59:37.337000,1416.0,2326.0,1819.0,109.69545541818182,1,2.6547626441648906,True
26920,0 days 00:59:37.517000,1391.0,2373.0,1821.0,107.24090996363637,1,2.6583874697196483,True
26921,0 days 00:59:37.608000,1375.8929383446562,2396.087181010264,1821.6410780669776,106.0,1,2.655875728289665,True
26922,0 days 00:59:37.676000,1364.0,2413.0,1822.0,106.0,1,2.6491769269534307,True
26923,0 days 00:59:37.888000,1325.5626374811757,2463.202050175673,1822.9573591879284,106.0,1,2.6387924523276327,True
26924,0 days 00:59:37.896000,1324.0,2465.0,1823.0,106.06666666666666,1,2.6270040834794215,True
26925,0 days 00:59:38.128000,1274.4558274998676,2513.823664481519,1824.5430381318822,108.0,1,2.61432543692893,True
26926,0 days 00:59:38.196000,1259.0,2527.0,1825.0,108.425,1,2.5946968198076434,True
26927,0 days 00:59:38.356000,1221.0,2556.0,1826.0,109.425,1,2.550022408969251,True
26928,0 days 00:59:38.448000,1196.660398575974,2571.258159238637,1826.595402842568,110.0,1,2.5304506156311075,True
26929,0 days 00:59:38.636000,1145.0,2598.0,1828.0,112.82,1,2.4858074046926193,True
26930,0 days 00:59:38.648000,1141.9280167227369,2599.425316358445,1828.1054810575095,113.0,1,2.461350444901598,True
26931,0 days 00:59:38.808000,1097.2737841878054,2616.548908468792,1829.6929045592717,113.0,1,2.4269461469312983,True
26932,0 days 00:59:38.836000,1085.0,2620.0,1830.0,113.84,1,2.371368591533307,True
26933,0 days 00:59:39.008000,984.027901176478,2644.061081118474,1831.9247904184328,119.0,1,2.303762938705846,True
26934,0 days 00:59:39.016000,980.0,2645.0,1832.0,119.175,1,2.230195330234135,True
26935,0 days 00:59:39.328000,918.6943902679137,2659.8758865150457,1833.5426285321532,126.0,1,2.147960206409128,True
26936,0 days 00:59:39.516000,853.0,2659.0,1835.0,128.35,1,2.0403985084724474,True
26937,0 days 00:59:39.568000,819.7320730868199,2658.459577286078,1835.647406241248,129.0,1,1.8250335091419423,True
26938,0 days 00:59:39.676000,747.0,2657.0,1837.0,132.7125,1,1.7443178418205447,True
26939,0 days 00:59:39.888000,693.3068318434605,2653.0515684440024,1837.7410634479172,140.0,1,1.533518593218488,True
26940,0 days 00:59:39.976000,676.0,2650.0,1838.0,141.32,1,1.4677244310933462,True
26941,0 days 00:59:40.088000,642.2635834606828,2644.4094469176,1838.6584408519836,143.0,1,1.2113369011672872,True
26942,0 days 00:59:40.296000,545.0,2622.0,1841.0,151.03636363636363,1,1.0495665628066015,True
26943,0 days 00:59:40.516000,409.0,2573.0,1845.0,159.53636363636363,1,0.7782137356041995,True
26944,0 days 00:59:40.528000,402.8564643033905,2570.5520253487016,1845.210186392903,160.0,1,0.6867432852238626,True
26945,0 days 00:59:40.688000,341.8666932471629,2543.7994123508065,1847.7362613686228,160.0,1,0.5747341711676898,True
26946,0 days 00:59:40.889000,289.2006889780468,2512.6319093579873,1850.9885927910764,176.0,1,0.3958203607545164,False
26947,0 days 00:59:40.937000,272.0,2502.0,1852.0,178.1,1,0.31836748571788664,False
26948,0 days 00:59:41.049000,224.3713111342296,2472.1806069950117,1854.724764770074,183.0,1,0.20355462733958393,False
26949,0 days 00:59:41.137000,184.0,2446.0,1857.0,186.08,1,0.11005780001267287,False
26950,0 days 00:59:41.249000,133.6055613555698,2411.5666914582253,1859.8292543777252,190.0,1,-0.055722787917304346,False
26951,0 days 00:59:41.297000,113.0,2397.0,1861.0,191.54285714285714,1,-0.19504408161042777,False
26952,0 days 00:59:41.497000,23.0,2333.0,1866.0,197.97142857142856,1,-0.42280798286919413,False
26953,0 days 00:59:41.529000,2.3219442392018013,2319.346813697686,1867.0195296517936,199.0,1,-0.514225132983243,True
26954,0 days 00:59:41.677000,-106.0,2251.0,1872.0,198.38333333333333,1,-0.9844102661694223,True
26955,0 days 00:59:41.769000,-155.41619285985317,2222.099167043419,1874.0215144537242,198.0,1,-1.1646713737917027,True
26956,0 days 00:59:42.097000,-254.0,2182.0,1877.0,183.42222222222222,1,-1.372814635193429,True
26957,0 days 00:59:42.129000,-266.25223343754874,2177.5660949700828,1877.487009065428,182.0,1,-1.4437098053416186,True
26958,0 days 00:59:42.257000,-326.0,2158.0,1880.0,173.2,1,-1.541559012569502,True
26959,0 days 00:59:42.449000,-457.07311780222017,2131.4655629071103,1885.3022522934277,160.0,1,-1.6866885214912315,True
26960,0 days 00:59:42.517000,-497.0,2125.0,1887.0,157.875,1,-1.8470550282168186,True
26961,0 days 00:59:42.609000,-536.7467420605487,2119.6005773889883,1888.853843278573,155.0,1,-1.892579339456109,True
26962,0 days 00:59:42.849000,-584.4805611913844,2120.7075446698004,1891.8596528973474,143.0,1,-1.9581845670173537,True
26963,0 days 00:59:42.937000,-608.0,2123.0,1893.0,140.525,1,-2.00749079314029,True
26964,0 days 00:59:43.137000,-682.0,2131.0,1896.0,134.9,1,-2.0804178566877787,True
26965,0 days 00:59:43.169000,-693.7481788896731,2133.107349291714,1896.5067978461054,134.0,1,-2.135946211132613,True
26966,0 days 00:59:43.377000,-764.0,2153.0,1900.0,128.05714285714285,1,-2.184734688358764,True
26967,0 days 00:59:43.449000,-786.6650165025424,2162.0005095603633,1901.3544340403964,126.0,1,-2.2179556526101707,True
26968,0 days 00:59:43.597000,-831.0,2184.0,1904.0,123.34767085931564,1,-2.254519459541536,True
26969,0 days 00:59:43.728000,-867.867889164545,2207.807201660957,1905.4830859497927,121.0,1,-2.296036039506243,True
26970,0 days 00:59:43.797000,-886.0,2222.0,1906.0,120.26071497142857,1,-2.3327285399019853,True
26971,0 days 00:59:43.957000,-924.0,2259.0,1907.0,118.54642925714286,1,-2.3570882624797145,True
26972,0 days 00:59:44.008000,-934.9764658548684,2271.65847641651,1907.6493179688778,118.0,1,-2.3811791752985694,True
26973,0 days 00:59:44.037000,-941.0,2279.0,1908.0,117.7281256,1,-2.4335294816463646,True
26974,0 days 00:59:44.276000,-985.0,2343.0,1909.0,115.4875,1,-2.435095450198877,True
26975,0 days 00:59:44.328000,-993.2065877336719,2357.701077340648,1909.2053674529889,115.0,1,-2.467512202483501,True
26976,0 days 00:59:44.456000,-1011.0,2395.0,1910.0,115.0,1,-2.492284012951466,True
26977,0 days 00:59:44.568000,-1023.1539060808599,2428.829053747029,1911.1667525327277,115.0,1,-2.5289511944550083,True
26978,0 days 00:59:44.656000,-1031.0,2455.0,1912.0,115.0,1,-2.566196429330641,True
26979,0 days 00:59:44.888000,-1045.710953767734,2527.5823028556047,1912.95668866079,115.0,1,-2.5860242628003243,True
26980,0 days 00:59:44.896000,-1046.0,2531.0,1913.0,115.08571428571429,1,-2.6129550287463332,True
26981,0 days 00:59:45.156000,-1048.0,2662.0,1915.0,117.87142857142857,1,-2.614630954256734,True
26982,0 days 00:59:45.168000,-1047.9032423176466,2666.3000614246566,1915.0722573340781,118.0,1,-2.6011071735217617,True
26983,0 days 00:59:45.368000,-1044.5756628863944,2702.9771755648067,1915.7662245838226,119.0,1,-2.595529059377453,True
26984,0 days 00:59:45.476000,-1040.0,2722.0,1916.0,119.0,1,-2.633862333250804,True
26985,0 days 00:59:45.568000,-1034.0795921837212,2746.805457407825,1916.2090357787745,119.0,1,-2.6137006692613083,True
26986,0 days 00:59:45.796000,-1012.0,2828.0,1917.0,126.6,1,-2.584061193608131,True
26987,0 days 00:59:45.808000,-1010.5844520353545,2832.1381553924293,1917.0672466240383,127.0,1,-2.611800876359175,True
26988,0 days 00:59:45.936000,-994.0,2875.0,1918.0,128.6,1,-2.5634661028159083,True
26989,0 days 00:59:45.968000,-989.4621819645669,2885.5933483693525,1918.3195645057085,129.0,1,-2.5453848202260096,True
26990,0 days 00:59:46.136000,-963.0,2941.0,1920.0,132.5,1,-2.4907192349757157,True
26991,0 days 00:59:46.296000,-933.0,2994.0,1920.0,135.83333333333334,1,-2.4759887792943487,True
26992,0 days 00:59:46.448000,-898.7295082408247,3045.400596344512,1920.4229995815654,139.0,1,-2.3689600031575995,True
26993,0 days 00:59:46.576000,-868.0,3087.0,1921.0,143.07272727272726,1,-2.3265514058562244,True
26994,0 days 00:59:47.216000,-668.0,3286.0,1922.0,163.43636363636364,1,-2.06240847186962,True
26995,0 days 00:59:47.328000,-600.2193107927163,3340.489988452221,1921.5993855473562,167.0,1,-1.9658932956961783,True
26996,0 days 00:59:47.477000,-518.0,3405.0,1921.0,172.83273903663806,1,-1.8556244473700412,True
