,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25390,0 days 00:56:06.655000,-6020.83423464508,1923.3667322209142,920.0772821011899,68.0,1,0.0,False
25391,0 days 00:56:06.775000,-6056.0,1931.0,920.0,67.0,1,0.0,False
25392,0 days 00:56:06.895000,-6078.270151582992,1934.551483965885,919.934308151808,66.0,1,0.0,False
25393,0 days 00:56:07.055000,-6091.085381566758,1933.5303769005263,919.9971320728387,65.0,1,0.0,False
25394,0 days 00:56:07.195000,-6107.0,1931.0,921.0,66.05,1,0.0,False
25395,0 days 00:56:07.355000,-6136.0,1926.0,923.0,67.25,1,0.0,False
25396,0 days 00:56:07.455000,-6159.852755366198,1918.1369245456335,923.4238255197762,68.0,1,0.0,False
25397,0 days 00:56:07.655000,-6209.0,1897.0,923.0,71.5,1,0.0,False
25398,0 days 00:56:07.855000,-6235.344123510482,1884.090107183236,923.5765988576269,75.0,1,0.0,False
25399,0 days 00:56:08.095000,-6267.0,1853.0,925.0,80.0,1,0.0,False
25400,0 days 00:56:08.315000,-6321.0,1791.0,926.0,86.05,1,0.0,False
25401,0 days 00:56:08.495000,-6336.734117820686,1769.0846605463646,926.0484508701938,91.0,1,0.0,False
25402,0 days 00:56:08.575000,-6342.0,1760.0,926.0,93.85714285714286,1,0.0,False
25403,0 days 00:56:08.775000,-6365.14677860911,1721.7601535536312,925.9839235641244,101.0,1,0.0,False
25404,0 days 00:56:08.915000,-6391.0,1675.0,926.0,105.08333333333333,1,0.0,False
25405,0 days 00:56:09.015000,-6414.779291208566,1628.9153067342377,926.0015071731066,108.0,1,0.0,False
25406,0 days 00:56:09.135000,-6441.0,1577.0,926.0,114.0,1,0.0,False
25407,0 days 00:56:09.255000,-6454.245044774017,1550.990360138855,926.0046851673352,120.0,1,0.0,False
25408,0 days 00:56:09.415000,-6467.0,1527.0,926.0,127.0,1,0.0,False
25409,0 days 00:56:09.575000,-6496.440429425956,1472.0006599616518,925.952880742147,134.0,1,0.0,False
25410,0 days 00:56:09.735000,-6535.009323151084,1401.0156452270196,925.9798341808047,139.0,1,0.0,False
25411,0 days 00:56:09.756000,-6540.0,1392.0,926.0,140.15499648,1,0.0,False
25412,0 days 00:56:09.935000,-6581.818530947438,1318.0834541123054,926.3292176588252,150.0,1,0.0,False
25413,0 days 00:56:10.116000,-6624.0,1246.0,927.0,157.79818431538277,1,0.0,False
25414,0 days 00:56:10.336000,-6677.0,1158.0,928.0,167.27664374082812,1,0.0,False
25415,0 days 00:56:10.376000,-6686.961598956862,1141.7750533274916,928.0113984795406,169.0,1,0.0,False
25416,0 days 00:56:10.436000,-6703.0,1116.0,928.0,172.9,1,0.0,False
25417,0 days 00:56:10.576000,-6751.241046617374,1040.9434326143667,928.5219972277774,182.0,1,0.0,False
25418,0 days 00:56:10.796000,-6840.0,906.0,930.0,190.25,1,0.0,False
25419,0 days 00:56:10.976000,-6901.630761409025,812.6372265754852,930.6347261339656,197.0,1,0.0,False
25420,0 days 00:56:11.136000,-6946.0,746.0,931.0,200.33333333333334,1,0.0,False
25421,0 days 00:56:11.216000,-6964.013991277967,719.3055778453561,931.1958011206608,202.0,1,0.0,False
25422,0 days 00:56:11.476000,-7020.0,640.0,932.0,212.21428571428572,1,0.0,False
25423,0 days 00:56:11.496000,-7025.956267932077,631.8625633601572,932.0841681469832,213.0,1,0.0,False
25424,0 days 00:56:11.696000,-7098.694351221742,535.164335909616,932.9424365419825,217.0,1,0.0,False
25425,0 days 00:56:11.735000,-7114.0,516.0,933.0,218.218752,1,0.0,False
25426,0 days 00:56:11.855000,-7162.0,459.0,933.0,221.968752,1,0.0,False
25427,0 days 00:56:11.856000,-7162.408220510566,458.53595832062877,933.0017356338403,222.0,1,0.0,False
25428,0 days 00:56:12.055000,-7247.0,369.0,934.0,225.8694456888889,1,0.0,False
25429,0 days 00:56:12.216000,-7321.303228014868,298.6927280146579,934.5872048234563,229.0,1,0.0,False
25430,0 days 00:56:12.335000,-7380.0,248.0,935.0,231.9750016,1,-0.9940860309954035,True
25431,0 days 00:56:12.496000,-7463.962579052643,181.94429287987398,935.7870835939344,236.0,1,-1.0341705946860622,True
25432,0 days 00:56:12.535000,-7484.0,167.0,936.0,236.4890289175616,1,-1.0624403244203722,True
25433,0 days 00:56:12.815000,-7627.085625476802,71.71670652813147,937.8228930827307,240.0,1,-1.1064584832472537,True
25434,0 days 00:56:12.835000,-7639.0,65.0,938.0,240.5,1,-1.1343383839446957,True
25435,0 days 00:56:13.035000,-7771.0,0.0,940.0,245.5,1,-1.1475313129233873,True
25436,0 days 00:56:13.055000,-7784.073802436005,-5.2973104501594515,940.1717322768692,246.0,1,-1.172983448893028,True
25437,0 days 00:56:13.195000,-7874.0,-36.0,941.0,247.55555555555554,1,-1.2023508028955359,True
25438,0 days 00:56:13.295000,-7941.0,-55.0,941.0,248.66666666666666,1,-1.2069203139662141,True
25439,0 days 00:56:13.415000,-8023.78600893789,-73.10739367613013,941.0010054268405,250.0,1,-1.2513007626429395,True
25440,0 days 00:56:13.575000,-8137.0,-91.0,941.0,252.28571428571428,1,-1.2401722944737994,True
25441,0 days 00:56:13.695000,-8223.24620940028,-101.89027905806363,940.828595825341,254.0,1,-1.2452395216378578,True
25442,0 days 00:56:13.815000,-8309.0,-111.0,940.0,256.3333333333333,1,-1.2425113255803109,True
25443,0 days 00:56:13.995000,-8438.0,-122.0,937.0,259.8333333333333,1,-1.246155736746446,True
25444,0 days 00:56:14.055000,-8486.212528389075,-124.96049719772375,936.0363802320172,261.0,1,-1.2559989039262582,True
25445,0 days 00:56:14.195000,-8601.0,-130.0,934.0,261.0,1,-1.2583826895845318,True
25446,0 days 00:56:14.295000,-8669.729221311938,-131.28732410881187,932.5321428222103,261.0,1,-1.2692013653265237,True
25447,0 days 00:56:14.455000,-8791.0,-126.0,929.0,263.0,1,-1.2806664613677732,True
25448,0 days 00:56:14.615000,-8981.107156485294,-107.1119197651274,922.3386768551657,265.0,1,-1.2720650166468246,True
25449,0 days 00:56:14.675000,-9043.0,-100.0,920.0,266.125,1,-1.2734314945905991,True
25450,0 days 00:56:14.775000,-9115.801291716936,-90.52777044553456,916.9686754399895,268.0,1,-1.259988163289836,True
25451,0 days 00:56:15.035000,-9220.0,-68.0,911.0,270.7857142857143,1,-1.2623302461869221,True
25452,0 days 00:56:15.055000,-9231.971047688976,-65.23570889798121,910.3465956583641,271.0,1,-1.2544583634897442,True
25453,0 days 00:56:15.275000,-9398.0,-26.0,902.0,273.75,1,-1.22756687657418,True
25454,0 days 00:56:15.455000,-9531.564695792069,10.602469203010404,896.6382473235843,276.0,1,-1.2055914426331178,True
25455,0 days 00:56:15.475000,-9546.0,15.0,896.0,276.3,1,-1.20334011426493,True
25456,0 days 00:56:15.535000,-9590.0,29.0,894.0,277.2,1,-1.1949479315041522,True
25457,0 days 00:56:15.655000,-9699.63664288752,66.32533750422171,890.4859780243911,279.0,1,-1.1686979539338958,True
25458,0 days 00:56:15.855000,-9909.839940294207,141.8319206618011,886.4850435479459,281.0,1,-1.1208266724766318,True
25459,0 days 00:56:15.895000,-9943.0,154.0,886.0,281.3,1,-1.0916418873347857,True
25460,0 days 00:56:16.255000,-10125.644516782751,226.3459395112254,885.744544190478,284.0,1,-1.0506298778231546,True
25461,0 days 00:56:16.316000,-10162.0,242.0,886.0,284.30499968,1,-1.0302630185255688,True
25462,0 days 00:56:16.455000,-10262.47465212603,285.97981658149763,886.784566118011,285.0,1,-0.9948675170656596,True
25463,0 days 00:56:16.476000,-10278.0,293.0,887.0,285.1749994666667,1,-0.9802304207499467,True
25464,0 days 00:56:16.656000,-10406.0,355.0,890.0,286.6749994666667,1,-0.9379838577501469,True
25465,0 days 00:56:16.695000,-10432.911821044456,369.525338599316,890.7584008974736,287.0,1,-0.9204774182846729,True
25466,0 days 00:56:16.836000,-10529.0,426.0,894.0,286.2985075577337,1,-0.8814588134342439,True
25467,0 days 00:56:16.896000,-10570.042705819573,451.9207393274613,895.9264003495696,286.0,1,-0.8666575196697497,True
25468,0 days 00:56:17.016000,-10650.0,505.0,900.0,287.8,1,-0.7861090592844558,True
25469,0 days 00:56:17.096000,-10698.702695037271,538.8109484449203,901.8983517425849,289.0,1,-0.7504189667629001,True
25470,0 days 00:56:17.256000,-10791.0,607.0,905.0,289.0,1,-0.7108535414311284,True
25471,0 days 00:56:17.376000,-10864.554291508732,665.1410659795579,908.6663446297124,289.0,1,-0.6508031617267873,True
25472,0 days 00:56:17.516000,-10951.0,739.0,913.0,288.6111111111111,1,-0.5992226158808359,True
25473,0 days 00:56:17.736000,-11077.0,863.0,917.0,288.0,1,-0.5205429246604776,True
25474,0 days 00:56:17.916000,-11173.0,971.0,921.0,288.0,1,-0.46304056973428115,False
25475,0 days 00:56:17.936000,-11183.384210209097,983.4470943453732,921.3894304641639,288.0,1,-0.4083254067012477,False
25476,0 days 00:56:18.096000,-11263.0,1084.0,924.0,288.44444444444446,1,-0.3453116909743015,False
25477,0 days 00:56:18.275000,-11345.0,1202.0,927.0,288.94166684444446,1,-0.2872497308171764,False
25478,0 days 00:56:18.296000,-11356.757042880217,1221.2047755950978,927.4007439473731,289.0,1,-0.25346124198876196,False
25479,0 days 00:56:18.535000,-11502.0,1480.0,932.0,288.0041664,1,-0.11591289249458438,False
25480,0 days 00:56:18.536000,-11502.399790465031,1480.7552275675268,932.0130852020491,288.0,1,-0.07743141460993089,False
25481,0 days 00:56:18.736000,-11537.272556021975,1556.484812337426,933.3984163714531,287.0,1,0.0013544752674225272,False
25482,0 days 00:56:18.815000,-11548.0,1584.0,934.0,287.32916693333334,1,0.031044389567848083,False
25483,0 days 00:56:18.976000,-11588.030263382165,1678.1741199812654,936.1009806037542,288.0,1,0.139132691192915,False
25484,0 days 00:56:19.095000,-11636.0,1790.0,938.0,286.80999936,1,0.2371407558021086,False
25485,0 days 00:56:19.176000,-11678.625405047158,1890.218022524252,939.3050076055816,286.0,1,0.3269480212980851,False
25486,0 days 00:56:19.295000,-11742.0,2040.0,941.0,286.2710707213018,1,0.46932722190642523,False
25487,0 days 00:56:19.615000,-11812.645586707165,2210.3516095413843,942.513252475778,287.0,1,0.6348346568183749,True
25488,0 days 00:56:19.775000,-11846.0,2285.0,943.0,285.4,1,0.7415362525992046,True
25489,0 days 00:56:19.955000,-11906.0,2413.0,944.0,283.6,1,0.8510438824351437,True
25490,0 days 00:56:20.015000,-11927.116122703013,2455.637563637226,944.3692172288527,283.0,1,0.938777854489757,True
25491,0 days 00:56:20.215000,-11997.0,2590.0,945.0,271.8888888888889,1,1.0688274483176519,True
25492,0 days 00:56:20.355000,-12045.0,2681.0,944.0,264.1111111111111,1,1.1773741879537925,True
25493,0 days 00:56:20.375000,-12051.87316101892,2693.608455552251,943.85189424241,263.0,1,1.2207303531956506,True
25494,0 days 00:56:20.535000,-12107.472203137115,2790.1440970660124,942.9490571209468,256.0,1,1.3370999449385141,True
25495,0 days 00:56:20.635000,-12145.0,2845.0,943.0,248.0,1,1.4258812848890212,True
25496,0 days 00:56:20.735000,-12185.637305221324,2894.939060628387,943.676181236968,240.0,1,1.5105237619125669,True
25497,0 days 00:56:20.815000,-12219.0,2931.0,944.0,238.8,1,1.6646618978660415,True
25498,0 days 00:56:20.935000,-12269.989402087602,2978.619669960249,943.2908540779466,237.0,1,1.8105404127564284,True
25499,0 days 00:56:20.995000,-12306.0,3003.0,943.0,234.9,1,1.8895781721817646,True
25500,0 days 00:56:21.135000,-12432.70611949192,3066.681466977296,943.458984773167,230.0,1,2.009793535529211,True
25501,0 days 00:56:21.235000,-12517.0,3103.0,944.0,226.66666666666666,1,2.135088931248099,True
25502,0 days 00:56:21.375000,-12580.230318225935,3124.865535480913,944.2352912453103,222.0,1,2.1914131772473424,True
25503,0 days 00:56:21.575000,-12638.0,3127.0,944.0,219.14285714285714,1,2.2862783275579686,True
25504,0 days 00:56:21.655000,-12684.306609974466,3131.068349569948,943.9278788009171,218.0,1,2.379360029376401,True
25505,0 days 00:56:21.735000,-12736.0,3135.0,944.0,216.0,1,2.409876811832459,True
25506,0 days 00:56:21.855000,-12808.082289608641,3136.559245342243,944.6041547341822,213.0,1,2.4861014462517095,True
25507,0 days 00:56:21.935000,-12858.0,3135.0,945.0,212.55555555555554,1,2.5094515929683796,True
25508,0 days 00:56:22.215000,-13057.422370742053,3116.5792384978363,945.0271027231936,211.0,1,2.5995739793341004,True
25509,0 days 00:56:22.275000,-13093.0,3112.0,945.0,210.625,1,2.6443615670717717,True
25510,0 days 00:56:22.375000,-13141.662037357975,3104.694998463687,945.0289799543381,210.0,1,2.671795487908668,True
25511,0 days 00:56:22.615000,-13246.0,3078.0,945.0,210.0,1,2.7488799201812832,True
25512,0 days 00:56:22.775000,-13358.334759271891,3039.6137874777005,944.3101806314993,199.0,1,2.8019270921454447,True
25513,0 days 00:56:22.856000,-13411.0,3020.0,944.0,194.9500032,1,2.8103030747014923,True
25514,0 days 00:56:23.055000,-13494.849445735023,2982.91057520187,943.8158627551638,185.0,1,2.8434893075338614,True
25515,0 days 00:56:23.276000,-13558.0,2939.0,944.0,178.48526171214684,1,2.8575352305507993,True
25516,0 days 00:56:23.476000,-13629.0,2878.0,944.0,172.5895692465588,1,2.876699388202595,True
25517,0 days 00:56:23.496000,-13635.437120082835,2871.478760631702,944.006959121718,172.0,1,2.8627696955439985,True
25518,0 days 00:56:23.596000,-13665.0,2838.0,944.0,169.5,1,2.8759473305438887,True
25519,0 days 00:56:23.736000,-13702.023849623205,2786.4471903234403,943.4298900494208,166.0,1,2.82707932563292,True
25520,0 days 00:56:23.856000,-13729.0,2739.0,943.0,163.0,1,2.8403990554738594,True
25521,0 days 00:56:24.036000,-13760.0,2665.0,943.0,158.5,1,2.8304284185539115,True
25522,0 days 00:56:24.056000,-13762.828897148445,2656.8266962393363,942.9254336307657,158.0,1,2.8299363757931397,True
25523,0 days 00:56:24.296000,-13788.0,2557.0,941.0,153.8,1,2.789362134592036,True
25524,0 days 00:56:24.456000,-13796.411333806916,2479.9310907330578,940.4581262172476,151.0,1,2.742506793367144,True
25525,0 days 00:56:24.536000,-13797.0,2440.0,940.0,151.0,1,2.7030549659374787,True
25526,0 days 00:56:24.736000,-13785.81517675345,2340.3389808669385,937.3479034732379,151.0,1,2.6190604177977073,True
25527,0 days 00:56:24.935000,-13767.0,2256.0,934.0,152.99000064,1,2.523705093747489,True
25528,0 days 00:56:25.136000,-13749.640578431485,2197.694420829681,931.2454327584674,155.0,1,2.469973315959845,True
25529,0 days 00:56:25.215000,-13740.0,2172.0,930.0,156.31666773333333,1,2.396147025629438,True
25530,0 days 00:56:25.415000,-13705.0,2090.0,926.0,159.65000106666668,1,2.3411180917571977,True
25531,0 days 00:56:25.496000,-13688.346921624054,2056.928076173094,924.1078829803381,161.0,1,2.252758980971436,True
25532,0 days 00:56:25.655000,-13652.0,1994.0,920.0,164.9750016,1,2.1635072527559474,True
25533,0 days 00:56:25.696000,-13641.724380155774,1977.7058258613367,918.8654429528506,166.0,1,2.154519235412986,True
25534,0 days 00:56:25.795000,-13616.0,1939.0,916.0,169.53571657142857,1,2.0729825248675144,True
25535,0 days 00:56:25.976000,-13568.93314311905,1875.0944379498671,910.2486359311249,176.0,1,1.9973334807726364,True
25536,0 days 00:56:26.095000,-13523.0,1823.0,905.0,179.31476442299464,1,1.9337479440687693,True
25537,0 days 00:56:26.335000,-13390.0,1688.0,891.0,186.0,1,1.8130768817378013,True
25538,0 days 00:56:26.695000,-13291.0,1599.0,880.0,200.0,1,1.7072739979755738,True
25539,0 days 00:56:26.855000,-13221.027263589389,1542.1908234806372,872.8009423184627,207.0,1,1.6560635946567148,True
25540,0 days 00:56:26.935000,-13183.0,1512.0,869.0,209.22222222222223,1,1.5519281150954616,True
25541,0 days 00:56:27.175000,-13069.0,1425.0,858.0,215.88888888888889,1,1.4296849328129109,True
25542,0 days 00:56:27.215000,-13046.956887228038,1408.4462403002526,855.8977549679123,217.0,1,1.379963896291878,True
25543,0 days 00:56:27.415000,-12931.0,1322.0,845.0,222.9090909090909,1,1.284240315297899,True
25544,0 days 00:56:27.655000,-12825.978436097288,1245.6358314394672,836.3167810946339,230.0,1,1.2054782554175736,True
25545,0 days 00:56:27.695000,-12807.0,1232.0,835.0,231.0,1,1.1704328429622703,True
25546,0 days 00:56:27.855000,-12722.250610921847,1171.311623509709,829.6424107206026,235.0,1,1.0992353145814975,True
25547,0 days 00:56:27.875000,-12712.0,1164.0,829.0,235.375,1,1.0706263505631024,True
25548,0 days 00:56:28.015000,-12646.517122099767,1117.5140802901751,824.7888307561014,238.0,1,0.9474354864614531,True
25549,0 days 00:56:28.175000,-12564.646270080551,1061.373620738375,820.213922197393,241.0,1,0.9033657666294463,True
25550,0 days 00:56:28.215000,-12537.0,1043.0,819.0,241.76923076923077,1,0.8734625860347859,True
25551,0 days 00:56:28.415000,-12376.0,938.0,813.0,245.6153846153846,1,0.7809148519402751,True
25552,0 days 00:56:28.695000,-12256.540098347017,861.9425967152715,809.1406237497271,251.0,1,0.7059589840135564,True
25553,0 days 00:56:28.715000,-12247.0,856.0,809.0,251.375,1,0.6817812774771626,True
25554,0 days 00:56:28.935000,-12114.0,774.0,808.0,255.5,1,0.6254263638668252,True
25555,0 days 00:56:29.015000,-12062.710269833831,743.0735904313827,807.5912376786733,257.0,1,0.5893231219944945,True
25556,0 days 00:56:29.255000,-11914.323178823437,655.6068364922972,806.8934684802032,261.0,1,0.5364253430399358,True
25557,0 days 00:56:29.275000,-11903.0,649.0,807.0,261.3333333333333,1,0.5353896629057294,True
25558,0 days 00:56:29.456000,-11789.0,584.0,809.0,264.3499989333333,1,0.5091442428776732,True
25559,0 days 00:56:29.495000,-11749.867605551235,562.5128258346768,809.4849957739868,265.0,1,0.484863929063836,False
25560,0 days 00:56:29.616000,-11607.0,485.0,811.0,266.1343744,1,0.45495334952645233,False
25561,0 days 00:56:29.815000,-11432.752043414315,391.1824050854181,813.7959125009359,268.0,1,0.4194482318882292,False
25562,0 days 00:56:29.975000,-11341.263942689633,342.61785911811785,816.0479126380466,270.0,1,0.4131788942540377,False
25563,0 days 00:56:30.056000,-11302.0,322.0,817.0,270.6721988175134,1,0.38441915304829455,False
25564,0 days 00:56:30.216000,-11238.043195369517,288.93238337164905,818.502776619519,272.0,1,0.3623619857191963,False
25565,0 days 00:56:30.416000,-11152.0,246.0,821.0,274.85714285714283,1,0.34987027648219615,False
25566,0 days 00:56:30.496000,-11103.865663987133,222.36290224762595,822.6884334962361,276.0,1,0.3276328351561212,False
25567,0 days 00:56:30.736000,-10931.0,139.0,828.0,278.0,1,0.30506043799096905,False
25568,0 days 00:56:30.856000,-10847.0,100.0,829.0,278.85714285714283,1,0.29169989924882206,False
25569,0 days 00:56:31.016000,-10733.38082327479,49.11951494278985,831.7859209294065,280.0,1,0.28322459733139854,False
25570,0 days 00:56:31.116000,-10661.0,18.0,834.0,280.625,1,0.26732421562417796,False
25571,0 days 00:56:31.336000,-10500.870301880637,-47.44605942963227,838.6642369595495,282.0,1,0.255325279741372,False
25572,0 days 00:56:31.356000,-10487.0,-53.0,839.0,282.1111111111111,1,0.2461758430237583,False
25573,0 days 00:56:31.575000,-10341.0,-110.0,842.0,283.3277781333333,1,0.23753033505058457,False
25574,0 days 00:56:31.675000,-10267.0,-137.0,844.0,283.8833336888889,1,0.22961262677808814,False
25575,0 days 00:56:31.696000,-10249.014824556572,-143.5003694870416,844.4840766423147,284.0,1,0.2223873505846625,False
25576,0 days 00:56:31.856000,-10080.271630606072,-204.2026630004675,848.8292702372026,285.0,1,0.21580072998629415,False
25577,0 days 00:56:31.975000,-9952.0,-250.0,852.0,286.4875008,1,0.19869725541217018,False
25578,0 days 00:56:32.096000,-9837.587243677996,-290.4597972902786,854.7237433183051,288.0,1,0.199098939720077,False
25579,0 days 00:56:32.955000,-9296.0,-473.0,863.0,292.299299344189,1,0.17998396338634964,False
25580,0 days 00:56:33.095000,-9189.987343832332,-508.79291510194105,863.6263398187978,293.0,1,0.19044050612041846,False
25581,0 days 00:56:33.235000,-9080.0,-546.0,864.0,293.0,1,0.20158229046452106,False
25582,0 days 00:56:33.295000,-9033.486746979079,-561.7195494968269,864.0401355979941,293.0,1,0.2130390849673337,False
25583,0 days 00:56:33.415000,-8941.0,-593.0,864.0,293.0,1,0.23522389706325306,False
25584,0 days 00:56:33.495000,-8879.064531709826,-614.024814393871,863.9949978565069,293.0,1,0.22991242236725695,False
25585,0 days 00:56:33.575000,-8817.0,-635.0,864.0,293.4,1,0.24875804694508422,False
25586,0 days 00:56:33.835000,-8615.0,-702.0,864.0,294.7,1,0.2568932068426833,False
25587,0 days 00:56:33.895000,-8568.128589686412,-717.5954811205509,863.9998277753934,295.0,1,0.2662355761947063,False
25588,0 days 00:56:34.015000,-8474.0,-749.0,864.0,296.2,1,0.27979918815386173,False
25589,0 days 00:56:34.095000,-8410.932916771613,-769.9976558941628,863.999851455077,297.0,1,0.2881730913244867,False
25590,0 days 00:56:34.215000,-8318.0,-801.0,864.0,297.0,1,0.3025936842788069,False
25591,0 days 00:56:34.295000,-8259.099073235982,-820.8158114021846,864.0010975639348,297.0,1,0.32263393096370563,False
25592,0 days 00:56:34.455000,-8143.0,-860.0,864.0,299.4,1,0.33288736551769454,False
25593,0 days 00:56:34.495000,-8112.488449624253,-870.2252147320382,863.9972053233386,300.0,1,0.3786122736528943,False
25594,0 days 00:56:34.755000,-7907.0,-939.0,864.0,300.0,1,0.40467263958669997,False
25595,0 days 00:56:34.855000,-7832.362504510126,-964.5380371567841,864.0481007683485,300.0,1,0.4115174587161254,False
25596,0 days 00:56:34.915000,-7781.0,-982.0,864.0,300.1875,1,0.4345133031976901,False
25597,0 days 00:56:35.175000,-7496.0,-1077.0,863.0,301.0,1,0.46071799513603523,False
25598,0 days 00:56:35.415000,-7344.158482246051,-1127.346727760486,862.8924406048972,301.0,1,0.5074735474221855,True
25599,0 days 00:56:35.575000,-7257.0,-1157.0,863.0,303.0,1,0.5350758376580974,True
25600,0 days 00:56:35.655000,-7203.061281043214,-1175.6735300778375,863.0064046848579,304.0,1,0.544061170734073,True
25601,0 days 00:56:35.735000,-7129.0,-1201.0,863.0,304.2857142857143,1,0.5740011328688233,True
25602,0 days 00:56:35.935000,-6857.0,-1292.0,863.0,305.0,1,0.6124685988986257,True
25603,0 days 00:56:36.175000,-6761.510644755645,-1324.4171374144105,862.9844866024688,304.0,1,0.6354895077558176,True
25604,0 days 00:56:36.216000,-6745.0,-1330.0,863.0,304.2928566857143,1,0.6383121392824829,True
25605,0 days 00:56:36.455000,-6560.435872625545,-1391.6253813953156,863.2189498687256,306.0,1,0.6761970473900198,True
25606,0 days 00:56:36.596000,-6439.0,-1432.0,863.0,305.4149378695271,1,0.7097802909600421,True
25607,0 days 00:56:36.696000,-6365.341872969234,-1456.4456218992639,862.558120646511,305.0,1,0.7348062870906856,True
25608,0 days 00:56:36.776000,-6295.0,-1480.0,863.0,305.0,1,0.7513587891024117,True
25609,0 days 00:56:36.936000,-6096.34545791509,-1547.2822134405703,865.5029492809977,305.0,1,0.7886569156445109,True
25610,0 days 00:56:36.976000,-6053.0,-1562.0,863.0,305.0,1,0.8009501689434059,True
25611,0 days 00:56:37.176000,-5931.905798201982,-1603.1828261536223,820.9356452018906,305.0,1,0.8221463696235665,True
25612,0 days 00:56:37.356000,-5828.0,-1638.0,801.0,306.8,1,0.8476181869316063,True
25613,0 days 00:56:37.376000,-5809.782552552548,-1644.0708252153058,803.0218917706657,307.0,1,0.8502958996003015,True
25614,0 days 00:56:37.616000,-5541.0,-1731.0,864.0,305.6666666666667,1,0.9043180228183205,True
25615,0 days 00:56:37.736000,-5453.066078999267,-1753.677979881201,875.66162220974,305.0,1,0.9194074361383708,True
25616,0 days 00:56:37.976000,-5337.518225357922,-1756.8145922673295,864.4591881200486,305.0,1,0.9286416170745909,True
25617,0 days 00:56:37.996000,-5324.0,-1756.0,864.0,304.9166666666667,1,0.9269505501757145,True
25618,0 days 00:56:38.175000,-5177.0,-1740.0,864.0,304.17083306666666,1,0.9290459882835889,True
25619,0 days 00:56:38.216000,-5141.584979094247,-1732.403636404553,864.0887869691078,304.0,1,0.922996320926725,True
25620,0 days 00:56:38.355000,-5024.0,-1698.0,864.0,303.1312496,1,0.9131894902559595,True
25621,0 days 00:56:38.536000,-4885.524526182346,-1649.8880277936291,864.350324849919,302.0,1,0.901583918609846,True
25622,0 days 00:56:38.635000,-4794.0,-1614.0,865.0,301.2928566857143,1,0.8898767527976319,True
25623,0 days 00:56:38.815000,-4593.0,-1530.0,867.0,300.0071424,1,0.8684012850979119,True
25624,0 days 00:56:38.816000,-4592.047456378237,-1529.5851071934742,867.0110840172839,300.0,1,0.8620887161534597,True
25625,0 days 00:56:39.016000,-4461.351984286813,-1467.699537391555,868.9550674060708,301.0,1,0.84711727268111,True
25626,0 days 00:56:39.135000,-4394.0,-1431.0,870.0,301.59500032,1,0.8113142246752707,True
25627,0 days 00:56:39.216000,-4338.731310839214,-1400.1132080671664,870.707513491619,302.0,1,0.8001722053326845,True
25628,0 days 00:56:39.335000,-4249.0,-1348.0,872.0,301.40499968,1,0.7778516357545101,True
25629,0 days 00:56:39.416000,-4186.972196548644,-1309.7185395830775,873.2885130918228,301.0,1,0.7572963550955428,True
25630,0 days 00:56:39.515000,-4114.0,-1263.0,875.0,300.4484677083512,1,0.7413876832114202,True
25631,0 days 00:56:39.715000,-3976.0,-1169.0,878.0,299.33426177885025,1,0.7015308846471124,True
25632,0 days 00:56:39.775000,-3921.988261767538,-1128.6197200387212,879.1446549043536,299.0,1,0.6681335278969673,True
25633,0 days 00:56:40.015000,-3689.0,-945.0,884.0,298.0,1,0.6059314840907156,True
25634,0 days 00:56:40.295000,-3595.29149191509,-861.4099814733333,885.6634774429432,296.0,1,0.5433757700276401,True
25635,0 days 00:56:40.335000,-3579.0,-846.0,886.0,296.0,1,0.5260068968203477,True
25636,0 days 00:56:40.535000,-3458.942875114607,-734.1164457026183,888.7032399581062,296.0,1,0.45859325900774855,False
25637,0 days 00:56:40.555000,-3446.0,-722.0,889.0,295.9375,1,0.41744107231484584,False
25638,0 days 00:56:40.855000,-3267.0,-553.0,893.0,295.0,1,0.32320424385045754,False
25639,0 days 00:56:41.055000,-3163.4130398777315,-456.1885569460355,895.0341810397839,294.0,1,0.2695040420506603,False
25640,0 days 00:56:41.095000,-3125.0,-419.0,896.0,292.8,1,0.23973792408771705,False
25641,0 days 00:56:41.215000,-2977.0,-274.0,900.0,289.2,1,0.1395834780913794,False
25642,0 days 00:56:41.255000,-2940.30785131939,-237.8424288780482,901.0137235296467,288.0,1,0.08293182644296321,False
25643,0 days 00:56:41.495000,-2879.6945584655073,-176.05754506366142,902.7323156431004,283.0,1,0.03508848888243291,False
25644,0 days 00:56:41.555000,-2866.0,-162.0,903.0,281.75,1,0.02562814966157695,False
25645,0 days 00:56:41.735000,-2788.719342625842,-84.5211821139225,904.3858500682825,278.0,1,-0.0377780474496374,False
25646,0 days 00:56:41.895000,-2684.0,20.0,907.0,273.0,1,-0.10335501873972706,False
25647,0 days 00:56:42.055000,-2556.179018435742,147.87744778027763,911.3092273310511,264.0,1,-0.1830387420876599,False
25648,0 days 00:56:42.135000,-2503.0,201.0,913.0,259.5,1,-0.22583317120361524,False
25649,0 days 00:56:42.215000,-2465.141438334816,238.66976213966947,913.91860006576,255.0,1,-0.26443689319074504,False
25650,0 days 00:56:42.455000,-2410.082591281904,291.36880953065395,913.9322734017404,227.0,1,-0.29383692708324427,False
25651,0 days 00:56:42.475000,-2405.0,296.0,914.0,224.625,1,-0.3076993575617994,False
