,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25390,0 days 00:56:06.655000,-6801.344206369281,965.3294797971126,928.816772710559,183.0,1,0.0,False
25391,0 days 00:56:06.775000,-6859.0,877.0,930.0,188.5,1,0.0,False
25392,0 days 00:56:06.895000,-6895.960811657034,820.6929294937322,930.5778653044972,194.0,1,0.0,False
25393,0 days 00:56:07.055000,-6918.364774993676,787.3229343854664,930.581632172208,201.0,1,0.0,False
25394,0 days 00:56:07.195000,-6947.0,745.0,931.0,205.2,1,0.0,False
25395,0 days 00:56:07.355000,-7000.0,668.0,932.0,210.0,1,0.0,False
25396,0 days 00:56:07.455000,-7046.4447588435505,605.2939547883547,932.1679989756317,213.0,1,0.0,False
25397,0 days 00:56:07.655000,-7147.0,476.0,932.0,218.5,1,0.0,False
25398,0 days 00:56:07.855000,-7206.610073881264,403.39577956294573,933.100168716293,224.0,1,0.0,False
25399,0 days 00:56:08.095000,-7300.0,318.0,935.0,229.0,1,0.0,False
25400,0 days 00:56:08.315000,-7464.0,181.0,936.0,230.1,1,0.0,False
25401,0 days 00:56:08.495000,-7518.642824481811,140.17244126120096,936.6731034656261,231.0,1,0.0,False
25402,0 days 00:56:08.575000,-7540.0,126.0,937.0,234.42857142857142,1,0.0,False
25403,0 days 00:56:08.775000,-7630.361794101943,64.8130627568506,937.9781519231516,243.0,1,0.0,False
25404,0 days 00:56:08.915000,-7738.0,13.0,939.0,245.33333333333334,1,0.0,False
25405,0 days 00:56:09.015000,-7842.232622891718,-23.5885686633923,939.9766970255071,247.0,1,0.0,False
25406,0 days 00:56:09.135000,-7960.0,-59.0,941.0,248.5,1,0.0,False
25407,0 days 00:56:09.255000,-8021.888695393503,-74.85542146200224,941.3227527521341,250.0,1,0.0,False
25408,0 days 00:56:09.415000,-8079.0,-82.0,941.0,252.5,1,0.0,False
25409,0 days 00:56:09.575000,-8196.905961995897,-97.09751487487262,940.312207080535,255.0,1,0.0,False
25410,0 days 00:56:09.735000,-8341.428872655022,-114.20360461932056,939.1875448591084,257.0,1,0.0,False
25411,0 days 00:56:09.756000,-8359.0,-116.0,939.0,257.31499904,1,0.0,False
25412,0 days 00:56:09.935000,-8495.395314241618,-127.04706970536377,937.0248002876799,260.0,1,0.0,False
25413,0 days 00:56:10.116000,-8621.0,-131.0,934.0,261.6417230137648,1,0.0,False
25414,0 days 00:56:10.336000,-8775.0,-127.0,929.0,263.6371881559638,1,0.0,False
25415,0 days 00:56:10.376000,-8804.012833822659,-125.35823859196034,928.2349464906565,264.0,1,0.0,False
25416,0 days 00:56:10.436000,-8850.0,-122.0,927.0,265.2,1,0.0,False
25417,0 days 00:56:10.576000,-8979.917776503644,-107.46572759730152,922.2508836836449,268.0,1,0.0,False
25418,0 days 00:56:10.796000,-9207.0,-71.0,912.0,270.2,1,0.0,False
25419,0 days 00:56:10.976000,-9360.805749520243,-35.703363730138115,904.3324751386958,272.0,1,0.0,False
25420,0 days 00:56:11.136000,-9467.0,-7.0,899.0,274.6666666666667,1,0.0,False
25421,0 days 00:56:11.216000,-9507.714348671245,4.308990118853482,897.129966830785,276.0,1,0.0,False
25422,0 days 00:56:11.476000,-9623.0,40.0,893.0,278.7857142857143,1,0.0,False
25423,0 days 00:56:11.496000,-9635.140884053206,44.087437357207094,892.6186395389228,279.0,1,0.0,False
25424,0 days 00:56:11.696000,-9783.69925978249,95.81795588858417,888.5274286546637,280.0,1,0.0,False
25425,0 days 00:56:11.735000,-9815.0,107.0,888.0,280.7312512,1,0.0,False
25426,0 days 00:56:11.855000,-9911.0,142.0,887.0,282.9812512,1,0.0,False
25427,0 days 00:56:11.856000,-9911.760789678729,142.2850431383073,886.9912473928766,283.0,1,0.0,False
25428,0 days 00:56:12.055000,-10051.0,197.0,885.0,284.6583338666667,1,0.0,False
25429,0 days 00:56:12.216000,-10167.475146335993,244.23864763666313,884.8775085340915,286.0,1,0.0,False
25430,0 days 00:56:12.335000,-10255.0,282.0,886.0,286.42500022857143,1,-1.085893989305902,True
25431,0 days 00:56:12.496000,-10371.0390244826,337.16097177621754,889.1417451232638,287.0,1,-1.0466134967326104,True
25432,0 days 00:56:12.535000,-10398.0,351.0,890.0,287.24451445878077,1,-1.015246575788213,True
25433,0 days 00:56:12.815000,-10582.734342648613,459.62719860640897,896.466180268222,289.0,1,-0.9630572324744782,True
25434,0 days 00:56:12.835000,-10597.0,469.0,897.0,289.0,1,-0.926854341657618,True
25435,0 days 00:56:13.035000,-10744.0,571.0,903.0,289.0,1,-0.8873409923121135,True
25436,0 days 00:56:13.055000,-10756.848468753818,580.3118571005512,903.653660164891,289.0,1,-0.8469950569454031,True
25437,0 days 00:56:13.195000,-10840.0,644.0,908.0,289.77777777777777,1,-0.7761175274188243,True
25438,0 days 00:56:13.295000,-10907.0,701.0,910.0,290.3333333333333,1,-0.7406343939466545,True
25439,0 days 00:56:13.415000,-10981.169779834769,767.9470113516406,912.8303730509455,291.0,1,-0.6519337593073903,True
25440,0 days 00:56:13.575000,-11071.0,857.0,917.0,291.57142857142856,1,-0.5878465120169972,True
25441,0 days 00:56:13.695000,-11137.197392321008,929.7641984811115,919.6724524522435,292.0,1,-0.5409084996384663,True
25442,0 days 00:56:13.815000,-11200.0,1004.0,922.0,292.3333333333333,1,-0.5108305925417468,True
25443,0 days 00:56:13.995000,-11285.0,1114.0,925.0,292.8333333333333,1,-0.43843867449916585,False
25444,0 days 00:56:14.055000,-11312.979432060274,1153.7077246544502,925.9298863070267,293.0,1,-0.381228681906336,False
25445,0 days 00:56:14.195000,-11376.0,1249.0,928.0,293.5833333333333,1,-0.31033007611962987,False
25446,0 days 00:56:14.295000,-11415.169813291592,1311.9803553998845,929.397826297911,294.0,1,-0.23535602910927722,False
25447,0 days 00:56:14.455000,-11480.0,1434.0,932.0,294.5,1,-0.13780558045985788,False
25448,0 days 00:56:14.615000,-11566.531566461623,1627.6532522728546,935.7770188326956,295.0,1,-0.025005748661752362,False
25449,0 days 00:56:14.675000,-11594.0,1691.0,937.0,295.0,1,0.05492627121426142,False
25450,0 days 00:56:14.775000,-11626.367835038282,1766.0154436383013,938.4586830826063,295.0,1,0.12512937263116927,False
25451,0 days 00:56:15.035000,-11672.0,1874.0,940.0,295.92857142857144,1,0.22100392655780163,False
25452,0 days 00:56:15.055000,-11677.112177133542,1886.0711640909549,940.095334288684,296.0,1,0.27706999961911694,False
25453,0 days 00:56:15.275000,-11749.0,2056.0,941.0,296.55,1,0.39541801742699756,False
25454,0 days 00:56:15.455000,-11810.363090417863,2202.697273557446,941.7372687833608,297.0,1,0.5380240683043676,True
25455,0 days 00:56:15.475000,-11816.0,2216.0,942.0,296.9,1,0.5715278870343765,True
25456,0 days 00:56:15.535000,-11832.0,2253.0,943.0,296.6,1,0.6237334882384329,True
25457,0 days 00:56:15.655000,-11879.447505417636,2354.1406223594577,944.1701696035016,296.0,1,0.7249894779906448,True
25458,0 days 00:56:15.855000,-11983.652528002085,2564.4959919609164,944.040290052213,283.0,1,0.9248878838351079,True
25459,0 days 00:56:15.895000,-12000.0,2597.0,944.0,279.8,1,0.9867957709130193,True
25460,0 days 00:56:16.255000,-12084.895373952524,2753.6138346153334,943.955844985804,251.0,1,1.1739860454593998,True
25461,0 days 00:56:16.316000,-12101.0,2779.0,944.0,247.34000384,1,1.2389751309341577,True
25462,0 days 00:56:16.455000,-12146.385791299232,2846.747532189542,944.05393838127,239.0,1,1.3346711555520694,True
25463,0 days 00:56:16.476000,-12154.0,2857.0,944.0,238.12500266666666,1,1.369900466585613,True
25464,0 days 00:56:16.656000,-12227.0,2939.0,943.0,230.62500266666666,1,1.4750819601302618,True
25465,0 days 00:56:16.695000,-12245.319546828292,2955.4756717687574,942.9144427910751,229.0,1,1.5173006194931038,True
25466,0 days 00:56:16.836000,-12317.0,3010.0,943.0,224.08955290413624,1,1.6123358975096034,True
25467,0 days 00:56:16.896000,-12347.711671515475,3029.6585419029716,942.986515249009,222.0,1,1.6559705436826724,True
25468,0 days 00:56:17.016000,-12410.0,3063.0,943.0,218.4,1,1.8175250059533692,True
25469,0 days 00:56:17.096000,-12453.50555202125,3081.602992771451,943.2665206565935,216.0,1,1.8753446626043095,True
25470,0 days 00:56:17.256000,-12543.0,3110.0,944.0,212.57142857142858,1,1.9552987267002708,True
25471,0 days 00:56:17.376000,-12608.892257290867,3123.2700067788282,944.1033091698366,210.0,1,2.0628201908977886,True
25472,0 days 00:56:17.516000,-12688.0,3132.0,944.0,208.83333333333334,1,2.1707396716022305,True
25473,0 days 00:56:17.736000,-12823.0,3136.0,944.0,207.0,1,2.2747857667265783,True
25474,0 days 00:56:17.916000,-12929.0,3131.0,944.0,207.9,1,2.3684621025784023,True
25475,0 days 00:56:17.936000,-12940.75525169254,3130.0908117249082,944.0893472824946,208.0,1,2.4309872819192755,True
25476,0 days 00:56:18.096000,-13033.0,3121.0,945.0,208.44444444444446,1,2.5116841908444916,True
25477,0 days 00:56:18.275000,-13130.0,3106.0,944.0,208.94166684444446,1,2.5507524406475297,True
25478,0 days 00:56:18.296000,-13144.134025702675,3102.8336238476363,943.967146529021,209.0,1,2.583773377326427,True
25479,0 days 00:56:18.535000,-13322.0,3054.0,945.0,199.041664,1,2.657851862837588,True
25480,0 days 00:56:18.536000,-13322.50861701077,3053.8471509509086,945.0011884925639,199.0,1,2.6779796469557784,True
25481,0 days 00:56:18.736000,-13372.548049731517,3036.335646491384,944.2946432522714,190.0,1,2.71882246017005,True
25482,0 days 00:56:18.815000,-13390.0,3029.0,944.0,187.36666453333333,1,2.7216243787985923,True
25483,0 days 00:56:18.976000,-13449.60654267321,3004.875773689577,943.9087291469081,182.0,1,2.7612554945771026,True
25484,0 days 00:56:19.095000,-13512.0,2969.0,944.0,177.83499776,1,2.789155985440667,True
25485,0 days 00:56:19.176000,-13562.47079849132,2931.9391057874154,944.0322839915909,175.0,1,2.7926663822956046,True
25486,0 days 00:56:19.295000,-13634.0,2873.0,944.0,171.20500990177533,1,2.814071699831646,True
25487,0 days 00:56:19.615000,-13702.82518278647,2794.4662252320677,943.230184912941,161.0,1,2.8091233311465587,True
25488,0 days 00:56:19.775000,-13722.0,2752.0,943.0,158.2,1,2.768324998900732,True
25489,0 days 00:56:19.955000,-13755.0,2681.0,943.0,155.05,1,2.7476664824851427,True
25490,0 days 00:56:20.015000,-13764.106268688118,2656.5874468138754,942.8944589570511,154.0,1,2.7354358721520153,True
25491,0 days 00:56:20.215000,-13785.0,2574.0,942.0,152.88888888888889,1,2.6911746902853815,True
25492,0 days 00:56:20.355000,-13794.0,2511.0,941.0,152.11111111111111,1,2.686096273503924,True
25493,0 days 00:56:20.375000,-13794.818685054415,2502.220008719614,940.883339786047,152.0,1,2.618597735062773,True
25494,0 days 00:56:20.535000,-13796.830986975272,2435.3646154669304,940.2253521587052,156.0,1,2.542701115342229,True
25495,0 days 00:56:20.635000,-13794.0,2393.0,939.0,157.5,1,2.533439037155722,True
25496,0 days 00:56:20.735000,-13788.03967481006,2348.601590851148,936.6875200962411,159.0,1,2.5094076290741043,True
25497,0 days 00:56:20.815000,-13782.0,2314.0,935.0,160.2,1,2.4635647735273905,True
25498,0 days 00:56:20.935000,-13771.62654807074,2265.734791069501,933.8993911926545,162.0,1,2.3389987473823246,True
25499,0 days 00:56:20.995000,-13762.0,2235.0,933.0,163.2,1,2.314035836375188,True
25500,0 days 00:56:21.135000,-13722.11649943499,2133.5072011231423,928.4130270508329,166.0,1,2.1742521025389263,True
25501,0 days 00:56:21.235000,-13694.0,2068.0,925.0,167.66666666666666,1,2.1371188664087097,True
25502,0 days 00:56:21.375000,-13671.639046328542,2021.0854518567367,922.1803489588114,170.0,1,2.069708074689358,True
25503,0 days 00:56:21.575000,-13646.0,1984.0,919.0,175.0,1,2.050461567183686,True
25504,0 days 00:56:21.655000,-13625.646221886154,1952.7208150592678,916.6571643104853,177.0,1,1.9778518332100858,True
25505,0 days 00:56:21.735000,-13602.0,1918.0,914.0,179.0,1,1.9448777588433634,True
25506,0 days 00:56:21.855000,-13565.25070586508,1871.239261634398,910.0090650407479,182.0,1,1.8695978572377177,True
25507,0 days 00:56:21.935000,-13537.0,1839.0,907.0,184.22222222222223,1,1.8271958588002537,True
25508,0 days 00:56:22.215000,-13410.093868352606,1706.790485424335,893.5803387953993,192.0,1,1.6951960333639353,True
25509,0 days 00:56:22.275000,-13386.0,1683.0,891.0,193.875,1,1.6556492401446927,True
25510,0 days 00:56:22.375000,-13351.899019762843,1650.4050074289912,887.2944591687892,197.0,1,1.5782756633411879,True
25511,0 days 00:56:22.615000,-13266.0,1578.0,878.0,207.0,1,1.4885546023672733,True
25512,0 days 00:56:22.775000,-13161.849424157283,1496.3342461667246,867.2018746480368,210.0,1,1.380296205915337,True
25513,0 days 00:56:22.856000,-13111.0,1457.0,862.0,212.89285485714285,1,1.2714467000020502,True
25514,0 days 00:56:23.055000,-13022.6175080197,1389.845138690145,853.1813819574155,220.0,1,1.165828372335089,True
25515,0 days 00:56:23.276000,-12943.0,1331.0,846.0,225.01133714450245,1,1.119617618363896,True
25516,0 days 00:56:23.476000,-12845.0,1259.0,838.0,229.54648519495476,1,1.028667737302372,True
25517,0 days 00:56:23.496000,-12833.713159113962,1250.915890614575,837.1540933962186,230.0,1,0.971871046193892,True
25518,0 days 00:56:23.596000,-12776.0,1210.0,833.0,232.91666666666666,1,0.9446480966696137,True
25519,0 days 00:56:23.736000,-12708.653927803944,1162.0442187494357,828.3923588024651,237.0,1,0.827951504538779,True
25520,0 days 00:56:23.856000,-12652.0,1122.0,825.0,238.875,1,0.8145953164147512,True
25521,0 days 00:56:24.036000,-12552.0,1053.0,820.0,241.6875,1,0.7658732692433922,True
25522,0 days 00:56:24.056000,-12540.663941129373,1045.3755015388087,819.489224120947,242.0,1,0.7561740460120392,True
25523,0 days 00:56:24.296000,-12402.0,955.0,814.0,248.0,1,0.6951314835043786,True
25524,0 days 00:56:24.456000,-12297.589263234295,888.049671964249,810.425356932206,252.0,1,0.6451135716485483,True
25525,0 days 00:56:24.536000,-12242.0,853.0,809.0,253.42857142857142,1,0.611499883989068,True
25526,0 days 00:56:24.736000,-12094.605814924162,762.489148463023,807.1770625195817,257.0,1,0.5541958615194071,True
25527,0 days 00:56:24.935000,-11965.0,685.0,807.0,259.4875008,1,0.5034660386234632,True
25528,0 days 00:56:25.136000,-11876.358875643928,633.7400778796214,807.6186802189337,262.0,1,0.4803722100297346,False
25529,0 days 00:56:25.215000,-11838.0,612.0,808.0,263.31666773333336,1,0.4526334322988977,False
25530,0 days 00:56:25.415000,-11715.0,543.0,809.0,266.6500010666667,1,0.43514418032638497,False
25531,0 days 00:56:25.496000,-11661.897568867213,513.969340527009,809.1323842745468,268.0,1,0.4078981294739637,False
25532,0 days 00:56:25.655000,-11556.0,457.0,810.0,269.59000064,1,0.38365693506583626,False
25533,0 days 00:56:25.696000,-11528.4928103332,442.2145949430075,810.7464099422564,270.0,1,0.380972764257755,False
25534,0 days 00:56:25.795000,-11463.0,407.0,813.0,271.4142866285714,1,0.3614381292534224,False
25535,0 days 00:56:25.976000,-11353.22967352512,347.99101755530194,815.7380707296674,274.0,1,0.3471619478928918,False
25536,0 days 00:56:26.095000,-11260.0,300.0,818.0,275.32590576919785,1,0.33455731031275376,False
25537,0 days 00:56:26.335000,-11011.0,177.0,825.0,278.0,1,0.31785463437833067,False
25538,0 days 00:56:26.695000,-10842.0,98.0,829.0,281.0,1,0.30237291991323245,False
25539,0 days 00:56:26.855000,-10729.294034005121,47.2818943647787,832.222224941432,282.0,1,0.2937459153522651,False
25540,0 days 00:56:26.935000,-10669.0,21.0,834.0,282.8888888888889,1,0.27517912035551273,False
25541,0 days 00:56:27.175000,-10494.0,-50.0,839.0,285.55555555555554,1,0.25674886147945647,False
25542,0 days 00:56:27.215000,-10460.70814815414,-63.045552762116664,839.8390570105599,286.0,1,0.2481963104521079,False
25543,0 days 00:56:27.415000,-10287.0,-130.0,844.0,287.3636363636364,1,0.2363087449574631,False
25544,0 days 00:56:27.655000,-10133.32997809585,-186.30106557556374,848.3201614402221,289.0,1,0.2261512330939531,False
25545,0 days 00:56:27.695000,-10106.0,-196.0,849.0,289.2,1,0.2225603936683632,False
25546,0 days 00:56:27.855000,-9984.048392706083,-238.77179636615074,851.6680267420129,290.0,1,0.22557988211299354,False
25547,0 days 00:56:27.875000,-9969.0,-244.0,852.0,290.125,1,0.22644243699977312,False
25548,0 days 00:56:28.015000,-9869.87975057262,-278.11167018422776,854.3274236435666,291.0,1,0.22076244405525405,False
25549,0 days 00:56:28.175000,-9747.611579469614,-319.78322977198326,857.1919815832081,291.0,1,0.22216765521718854,False
25550,0 days 00:56:28.215000,-9709.0,-333.0,858.0,291.2307692307692,1,0.23060340260826434,False
25551,0 days 00:56:28.415000,-9493.0,-407.0,862.0,292.38461538461536,1,0.22775026348583816,False
25552,0 days 00:56:28.695000,-9334.36299285661,-459.85065569169814,862.9476897620142,294.0,1,0.23518123318452971,False
25553,0 days 00:56:28.715000,-9322.0,-464.0,863.0,294.125,1,0.23643433638963635,False
25554,0 days 00:56:28.935000,-9151.0,-522.0,864.0,295.5,1,0.2577522720506782,False
25555,0 days 00:56:29.015000,-9084.111733071495,-544.6172338539428,864.1661689273301,296.0,1,0.2634824063477828,False
25556,0 days 00:56:29.255000,-8891.823142068872,-609.3418288308964,864.0087273853695,297.0,1,0.26624278066032225,False
25557,0 days 00:56:29.275000,-8878.0,-614.0,864.0,297.0833333333333,1,0.31060371846857426,False
25558,0 days 00:56:29.456000,-8744.0,-659.0,864.0,297.83749973333335,1,0.3323174485830063,False
25559,0 days 00:56:29.495000,-8697.006231920626,-674.6222842755801,864.0016097582314,298.0,1,0.3424078867054504,False
25560,0 days 00:56:29.616000,-8524.0,-732.0,864.0,298.7562496,1,0.35219899068657107,False
25561,0 days 00:56:29.815000,-8316.57785961085,-801.1773151193381,863.9982961696904,300.0,1,0.36632829093889124,False
25562,0 days 00:56:29.975000,-8211.011013961877,-836.7688920651582,863.9990269949534,300.0,1,0.41302304774710513,False
25563,0 days 00:56:30.056000,-8166.0,-852.0,864.0,300.3360994087567,1,0.4252315602553929,False
25564,0 days 00:56:30.216000,-8093.317000145676,-876.7199783807948,864.0031093065672,301.0,1,0.4277958877829199,False
25565,0 days 00:56:30.416000,-7992.0,-911.0,864.0,301.7142857142857,1,0.45903478691744104,False
25566,0 days 00:56:30.496000,-7932.918895716057,-930.7926768280445,863.993122071471,302.0,1,0.47394890686817914,False
25567,0 days 00:56:30.736000,-7717.0,-1003.0,864.0,303.0,1,0.49604449095272707,False
25568,0 days 00:56:30.856000,-7613.0,-1038.0,864.0,303.42857142857144,1,0.5114747971603745,True
25569,0 days 00:56:31.016000,-7482.512298232711,-1081.7428164799605,863.3657837218968,304.0,1,0.5479812276210718,True
25570,0 days 00:56:31.116000,-7404.0,-1108.0,863.0,304.625,1,0.5570460773801476,True
25571,0 days 00:56:31.336000,-7234.599518086056,-1164.7393780446068,862.9892809219705,306.0,1,0.589197912718679,True
25572,0 days 00:56:31.356000,-7219.0,-1170.0,863.0,306.0,1,0.5997322668163554,True
25573,0 days 00:56:31.575000,-7042.0,-1230.0,863.0,306.0,1,0.6223464769461914,True
25574,0 days 00:56:31.675000,-6953.0,-1260.0,863.0,306.0,1,0.6579918807515551,True
25575,0 days 00:56:31.696000,-6932.524292480847,-1266.886291046332,863.0847637452243,306.0,1,0.6647989886321343,True
25576,0 days 00:56:31.856000,-6753.953374007537,-1326.8018266335064,864.7734321735645,307.0,1,0.6946995073982768,True
25577,0 days 00:56:31.975000,-6622.0,-1371.0,863.0,307.0,1,0.7076882034070675,True
25578,0 days 00:56:32.096000,-6503.251292957965,-1410.7356347578868,856.22800680247,307.0,1,0.7295433010798276,True
25579,0 days 00:56:32.955000,-5924.0,-1605.0,801.0,308.71971973767563,1,0.8275560800093227,True
25580,0 days 00:56:33.095000,-5814.038238376499,-1642.4999301510682,835.1527612336773,309.0,1,0.8498526014950685,True
25581,0 days 00:56:33.235000,-5697.0,-1682.0,863.0,309.0,1,0.8745537240474459,True
25582,0 days 00:56:33.295000,-5645.296442143196,-1699.1520817591672,866.2858949960047,309.0,1,0.885799815625105,True
25583,0 days 00:56:33.415000,-5545.0,-1730.0,864.0,308.4,1,0.9033899769534687,True
25584,0 days 00:56:33.495000,-5487.2757514202285,-1743.5273016880558,863.701604600854,308.0,1,0.9121703242644228,True
25585,0 days 00:56:33.575000,-5431.0,-1752.0,864.0,307.6,1,0.9181447443787306,True
25586,0 days 00:56:33.835000,-5221.0,-1748.0,864.0,306.3,1,0.931927304859745,True
25587,0 days 00:56:33.895000,-5170.641659306784,-1738.7248630179752,863.9987135700914,306.0,1,0.9309644438626183,True
25588,0 days 00:56:34.015000,-5069.0,-1712.0,864.0,306.0,1,0.92611217904914,True
25589,0 days 00:56:34.095000,-5000.209749175371,-1690.2035570231908,863.9182172779965,306.0,1,0.9208552817158202,True
25590,0 days 00:56:34.215000,-4898.0,-1654.0,864.0,304.8,1,0.9136279188171526,True
25591,0 days 00:56:34.295000,-4832.824650719538,-1629.5760954114107,864.4960134875276,304.0,1,0.9001109464477063,True
25592,0 days 00:56:34.455000,-4707.0,-1579.0,866.0,304.0,1,0.8869924276592589,True
25593,0 days 00:56:34.495000,-4675.607634198756,-1565.6185289079813,866.3008388751786,304.0,1,0.8662972565862354,True
25594,0 days 00:56:34.755000,-4477.0,-1474.0,868.0,302.55555555555554,1,0.8385972313398413,True
25595,0 days 00:56:34.855000,-4407.656502985533,-1438.8724594851678,869.1254894900624,302.0,1,0.8287338752980881,True
25596,0 days 00:56:34.915000,-4359.0,-1412.0,870.0,302.0,1,0.8029984427933394,True
25597,0 days 00:56:35.175000,-4080.0,-1241.0,875.0,302.0,1,0.7646773517584773,True
25598,0 days 00:56:35.415000,-3945.151297659218,-1148.9288270921968,877.9051337399582,303.0,1,0.7106572102120882,True
25599,0 days 00:56:35.575000,-3874.0,-1095.0,880.0,302.3333333333333,1,0.6774077180233554,True
25600,0 days 00:56:35.655000,-3828.7018416178807,-1060.8759476284783,881.409803870221,302.0,1,0.6528801335575464,True
25601,0 days 00:56:35.735000,-3768.0,-1012.0,883.0,302.0,1,0.6019120700815778,True
25602,0 days 00:56:35.935000,-3554.0,-823.0,887.0,302.0,1,0.5253697730970708,True
25603,0 days 00:56:36.175000,-3475.1639096724602,-748.6818079653059,888.7034716471982,302.0,1,0.48629919461130233,False
25604,0 days 00:56:36.216000,-3462.0,-736.0,889.0,302.0,1,0.4742149422834866,False
25605,0 days 00:56:36.455000,-3321.345368686143,-604.0970285260871,891.8571015336801,302.0,1,0.4042095774208944,False
25606,0 days 00:56:36.596000,-3229.0,-518.0,894.0,301.4149378695271,1,0.35166513383922365,False
25607,0 days 00:56:36.696000,-3172.3311860032677,-465.0876600861539,895.5860273169059,301.0,1,0.2994598710828375,False
25608,0 days 00:56:36.776000,-3120.0,-415.0,897.0,300.6666666666667,1,0.26349073031443654,False
25609,0 days 00:56:36.936000,-2978.8422699567445,-275.69118294916115,900.2894703280773,300.0,1,0.18046063275430843,False
25610,0 days 00:56:36.976000,-2948.0,-245.0,901.0,299.8333333333333,1,0.1565223854081541,False
25611,0 days 00:56:37.176000,-2858.289262055807,-154.93442839150396,903.2294258353065,299.0,1,0.08852400374009042,False
25612,0 days 00:56:37.356000,-2785.0,-81.0,905.0,297.2,1,0.057977347318743086,False
25613,0 days 00:56:37.376000,-2772.8056888678116,-68.78168693426916,905.2705673897029,297.0,1,0.030971941661414388,False
25614,0 days 00:56:37.616000,-2598.0,106.0,909.0,263.6666666666667,1,-0.06389101631896238,False
25615,0 days 00:56:37.736000,-2543.1738639374043,161.24842395225684,910.1910300841652,247.0,1,-0.08651956107687,False
25616,0 days 00:56:37.976000,-2479.251695494273,225.0442133381913,911.8009503537128,221.0,1,-0.1466208699332955,False
25617,0 days 00:56:37.996000,-2472.0,232.0,912.0,218.33333333333334,1,-0.1565008569967032,False
25618,0 days 00:56:38.175000,-2401.0,299.0,914.0,194.46665813333334,1,-0.19946659668104547,False
25619,0 days 00:56:38.216000,-2390.516164790949,308.74764415452177,914.3022343857664,189.0,1,-0.2931858486654933,False
25620,0 days 00:56:38.355000,-2367.0,330.0,915.0,177.2718696,1,-0.3081713244531889,False
25621,0 days 00:56:38.536000,-2314.2753809453243,376.2885529547427,916.4834076787384,162.0,1,-0.3488010792418631,False
25622,0 days 00:56:38.635000,-2273.0,407.0,917.0,154.22142354285714,1,-0.3608074889026478,False
25623,0 days 00:56:38.815000,-2186.0,461.0,917.0,140.0785664,1,-0.3926711929757648,False
25624,0 days 00:56:38.816000,-2185.6096819187305,461.22637499943164,917.0012001028792,140.0,1,-0.39630388054313836,False
25625,0 days 00:56:39.016000,-2138.8347963021497,485.06850848568376,917.8613315135314,134.0,1,-0.41252677641073365,False
25626,0 days 00:56:39.135000,-2114.0,494.0,918.0,123.28999424,1,-0.43773245365258306,False
25627,0 days 00:56:39.216000,-2090.3832286322845,502.3471578488055,917.6466677215352,116.0,1,-0.4440674994356171,False
25628,0 days 00:56:39.335000,-2052.0,515.0,917.0,113.61999872,1,-0.4563572310856474,False
25629,0 days 00:56:39.416000,-2029.0122477296168,521.1865647846327,916.9579882912502,112.0,1,-0.46875810194248513,False
25630,0 days 00:56:39.515000,-2003.0,527.0,917.0,108.69080625010696,1,-0.47546942061745046,False
25631,0 days 00:56:39.715000,-1947.0,535.0,916.0,102.0055706731016,1,-0.48150662574515435,False
25632,0 days 00:56:39.775000,-1925.004443727766,534.5446302307234,915.455085343805,100.0,1,-0.4969845048532035,False
25633,0 days 00:56:40.015000,-1832.0,523.0,913.0,96.0,1,-0.47102550204007665,False
25634,0 days 00:56:40.295000,-1798.5346541858858,510.5337555154592,912.2177118187086,92.0,1,-0.4839506308702357,False
25635,0 days 00:56:40.335000,-1793.0,507.0,912.0,91.66666666666667,1,-0.4907548136615703,False
25636,0 days 00:56:40.535000,-1751.4265806833985,480.2024108036774,910.1816332915761,90.0,1,-0.49052761900303427,False
25637,0 days 00:56:40.555000,-1747.0,477.0,910.0,90.0625,1,-0.5071417090585015,True
25638,0 days 00:56:40.855000,-1688.0,425.0,908.0,91.0,1,-0.461602519031532,False
25639,0 days 00:56:41.055000,-1653.8879549571943,392.98902934367294,907.2490868095737,94.0,1,-0.42970262708912205,False
25640,0 days 00:56:41.095000,-1639.0,383.0,907.0,95.2,1,-0.43614034121237943,False
25641,0 days 00:56:41.215000,-1579.0,347.0,906.0,98.8,1,-0.4499231004871594,False
25642,0 days 00:56:41.255000,-1563.9143341199276,338.5553161018595,905.6834159178233,100.0,1,-0.4201804628317731,False
25643,0 days 00:56:41.495000,-1536.8920480661022,331.23930539997906,904.2532703627006,95.0,1,-0.4332121637470091,False
25644,0 days 00:56:41.555000,-1530.0,331.0,904.0,94.75,1,-0.43746021683062486,False
25645,0 days 00:56:41.735000,-1492.5047593225083,324.48679155865926,903.4687796059602,94.0,1,-0.4682942172448771,False
25646,0 days 00:56:41.895000,-1441.0,322.0,903.0,93.0,1,-0.4898016620613563,False
25647,0 days 00:56:42.055000,-1376.4370687729818,331.0422380176507,902.3103230512121,91.0,1,-0.49190964793978986,False
25648,0 days 00:56:42.135000,-1350.0,336.0,902.0,91.5,1,-0.48585174889244187,False
25649,0 days 00:56:42.215000,-1331.981811073567,339.61233388009845,901.7620985684847,92.0,1,-0.47434438815906926,False
25650,0 days 00:56:42.455000,-1302.3081414807464,351.6721835281711,901.1021517232945,93.0,1,-0.48968794848053976,False
25651,0 days 00:56:42.475000,-1298.0,354.0,901.0,93.5,1,-0.47335468737981135,False
