,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25390,0 days 00:56:06.655000,-5394.210582897069,-1746.4191521280727,862.5929942749176,305.0,1,0.0,False
25391,0 days 00:56:06.775000,-5239.0,-1750.0,864.0,305.0,1,0.0,False
25392,0 days 00:56:06.895000,-5139.1249540575,-1743.997467816863,864.6237228026624,305.0,1,0.0,False
25393,0 days 00:56:07.055000,-5078.141325505653,-1721.5340285682278,864.3464146442153,304.0,1,0.0,False
25394,0 days 00:56:07.195000,-5003.0,-1691.0,864.0,303.65,1,0.0,False
25395,0 days 00:56:07.355000,-4870.0,-1643.0,864.0,303.25,1,0.0,False
25396,0 days 00:56:07.455000,-4766.174157931169,-1601.8861514685407,864.9803135076324,303.0,1,0.0,False
25397,0 days 00:56:07.655000,-4557.0,-1513.0,868.0,302.5,1,0.0,False
25398,0 days 00:56:07.855000,-4438.358709237309,-1459.545999954834,869.086397297385,302.0,1,0.0,False
25399,0 days 00:56:08.095000,-4291.0,-1373.0,871.0,301.0,1,0.0,False
25400,0 days 00:56:08.315000,-4051.0,-1221.0,876.0,300.45,1,0.0,False
25401,0 days 00:56:08.495000,-3979.702211561571,-1172.4040434990045,877.4798354897505,300.0,1,0.0,False
25402,0 days 00:56:08.575000,-3955.0,-1154.0,878.0,299.42857142857144,1,0.0,False
25403,0 days 00:56:08.775000,-3847.230329878046,-1074.758527453542,880.3652733492014,298.0,1,0.0,False
25404,0 days 00:56:08.915000,-3733.0,-982.0,883.0,297.4166666666667,1,0.0,False
25405,0 days 00:56:09.015000,-3631.9709965603906,-893.4755878750009,885.4039120300954,297.0,1,0.0,False
25406,0 days 00:56:09.135000,-3523.0,-795.0,888.0,297.0,1,0.0,False
25407,0 days 00:56:09.255000,-3470.504325182989,-746.2933530070189,889.1760513117214,297.0,1,0.0,False
25408,0 days 00:56:09.415000,-3427.0,-704.0,890.0,296.5,1,0.0,False
25409,0 days 00:56:09.575000,-3324.23292431164,-607.6304277321046,892.1121004311527,296.0,1,0.0,False
25410,0 days 00:56:09.735000,-3200.908448614342,-492.1425722953797,894.7040001923864,296.0,1,0.0,False
25411,0 days 00:56:09.756000,-3187.0,-479.0,895.0,295.89500032,1,0.0,False
25412,0 days 00:56:09.935000,-3090.1444266061203,-386.17490670772617,897.1017708658092,295.0,1,0.0,False
25413,0 days 00:56:10.116000,-3005.0,-302.0,899.0,293.7687077396764,1,0.0,False
25414,0 days 00:56:10.336000,-2885.0,-181.0,902.0,292.27210888302716,1,0.0,False
25415,0 days 00:56:10.376000,-2862.757107226516,-158.34947338030528,902.7733705261458,292.0,1,0.0,False
25416,0 days 00:56:10.436000,-2828.0,-123.0,904.0,291.4,1,0.0,False
25417,0 days 00:56:10.576000,-2731.1728858911774,-25.804257446315198,906.5782778669976,290.0,1,0.0,False
25418,0 days 00:56:10.796000,-2569.0,135.0,910.0,260.3,1,0.0,False
25419,0 days 00:56:10.976000,-2471.5709860829897,230.75820303068014,912.4767246377295,236.0,1,0.0,False
25420,0 days 00:56:11.136000,-2416.0,285.0,914.0,219.33333333333334,1,0.0,False
25421,0 days 00:56:11.216000,-2400.22137152287,300.34104034541457,914.3828302197735,211.0,1,0.0,False
25422,0 days 00:56:11.476000,-2369.0,328.0,915.0,178.5,1,0.0,False
25423,0 days 00:56:11.496000,-2364.034643810826,332.2089671979309,915.1293605929006,176.0,1,0.0,False
25424,0 days 00:56:11.696000,-2294.14823556841,390.14637217706417,916.8421312000071,156.0,1,0.0,False
25425,0 days 00:56:11.735000,-2280.0,401.0,917.0,154.0499968,1,0.0,False
25426,0 days 00:56:11.855000,-2239.0,430.0,917.0,148.0499968,1,0.0,False
25427,0 days 00:56:11.856000,-2238.6775179964166,430.2134050129992,916.9991232612806,148.0,1,0.0,False
25428,0 days 00:56:12.055000,-2179.0,465.0,917.0,139.70833066666665,1,0.0,False
25429,0 days 00:56:12.216000,-2129.3374325707055,487.837315199439,917.7505018962194,133.0,1,0.0,False
25430,0 days 00:56:12.335000,-2093.0,502.0,918.0,122.79999451428571,1,-0.4318709831759339,False
25431,0 days 00:56:12.496000,-2046.3108981845132,517.0501979679591,917.2133137103721,109.0,1,-0.44653774940733976,False
25432,0 days 00:56:12.535000,-2035.0,520.0,917.0,108.1441993942672,1,-0.4523873353106942,False
25433,0 days 00:56:12.815000,-1953.4329664361549,533.509618473343,916.0579000793144,102.0,1,-0.44432020669840167,False
25434,0 days 00:56:12.835000,-1948.0,534.0,916.0,101.5,1,-0.4532052122455849,False
25435,0 days 00:56:13.035000,-1897.0,535.0,915.0,96.5,1,-0.4512428021671733,False
25436,0 days 00:56:13.055000,-1891.9774676599595,534.5727928350799,914.7665501735163,96.0,1,-0.4659318059280697,False
25437,0 days 00:56:13.195000,-1857.0,529.0,913.0,94.44444444444444,1,-0.4791794373520367,False
25438,0 days 00:56:13.295000,-1833.0,523.0,913.0,93.33333333333333,1,-0.47898893376183904,False
25439,0 days 00:56:13.415000,-1805.7934280112775,512.5556484690843,912.3790074659803,92.0,1,-0.5179484110366207,True
25440,0 days 00:56:13.575000,-1771.0,493.0,911.0,90.28571428571429,1,-0.4999486268377364,False
25441,0 days 00:56:13.695000,-1744.7710958508637,474.27278873725265,910.5762278867992,89.0,1,-0.4911855128114215,False
25442,0 days 00:56:13.815000,-1720.0,454.0,910.0,90.0,1,-0.47183227358231605,False
25443,0 days 00:56:13.995000,-1687.0,424.0,908.0,91.5,1,-0.45435521885070773,False
25444,0 days 00:56:14.055000,-1675.2740456057122,413.7363879401749,907.5530960928476,92.0,1,-0.4614539475684421,False
25445,0 days 00:56:14.195000,-1647.0,390.0,907.0,94.91666666666667,1,-0.4471086041914532,False
25446,0 days 00:56:14.295000,-1628.1749549219587,374.555380146783,906.702895412525,97.0,1,-0.4492203840177713,False
25447,0 days 00:56:14.455000,-1590.0,352.0,906.0,97.0,1,-0.45183878131882965,False
25448,0 days 00:56:14.615000,-1526.1588477368425,331.49415807053356,904.4910248044749,97.0,1,-0.4313199307929059,False
25449,0 days 00:56:14.675000,-1505.0,326.0,904.0,97.0,1,-0.43740031005136204,False
25450,0 days 00:56:14.775000,-1479.6550345622381,320.6539911755101,903.4695562047033,97.0,1,-0.412852148150112,False
25451,0 days 00:56:15.035000,-1441.0,322.0,903.0,97.0,1,-0.4402090067261079,False
25452,0 days 00:56:15.055000,-1436.6447574842011,322.32624023092296,902.9425132084049,97.0,1,-0.44490871402873633,False
25453,0 days 00:56:15.275000,-1376.0,329.0,902.0,97.55,1,-0.4177460978918861,False
25454,0 days 00:56:15.455000,-1325.625477924313,343.3936538816309,901.0318222788518,98.0,1,-0.41064387957760956,False
25455,0 days 00:56:15.475000,-1321.0,345.0,901.0,98.2,1,-0.42094938668452664,False
25456,0 days 00:56:15.535000,-1308.0,350.0,901.0,98.8,1,-0.42808305781122413,False
25457,0 days 00:56:15.655000,-1272.9065371591416,368.9192467598007,900.7115886353735,100.0,1,-0.4145057037687974,False
25458,0 days 00:56:15.855000,-1200.3688840350828,416.83494755147296,899.3431971225683,103.0,1,-0.3974882715379772,False
25459,0 days 00:56:15.895000,-1189.0,425.0,899.0,104.0,1,-0.361200385185301,False
25460,0 days 00:56:16.255000,-1129.3505115028406,479.3624720151992,895.4187673797945,113.0,1,-0.4252382008611199,False
25461,0 days 00:56:16.316000,-1118.0,491.0,895.0,115.74499712,1,-0.45076911445019124,False
25462,0 days 00:56:16.455000,-1086.2264091887791,522.880163073105,894.210726760465,122.0,1,-0.48461905418693824,False
25463,0 days 00:56:16.476000,-1081.0,528.0,894.0,123.312496,1,-0.5008568668785731,True
25464,0 days 00:56:16.656000,-1033.0,573.0,891.0,134.562496,1,-0.5248184210142735,True
25465,0 days 00:56:16.695000,-1021.7629960977362,582.8132522050919,890.2965345365104,137.0,1,-0.5395518862756834,True
25466,0 days 00:56:16.836000,-979.0,618.0,888.0,143.31343198039625,1,-0.5751028997219364,True
25467,0 days 00:56:16.896000,-960.1707133769268,632.6014176638303,887.2814707645231,146.0,1,-0.6002508352878405,True
25468,0 days 00:56:17.016000,-921.0,661.0,886.0,147.8,1,-0.6452423196029748,True
25469,0 days 00:56:17.096000,-893.2013196751233,679.2512819888814,884.857935374447,149.0,1,-0.6590456666041266,True
25470,0 days 00:56:17.256000,-834.0,713.0,882.0,151.85714285714286,1,-0.6970274276405752,True
25471,0 days 00:56:17.376000,-787.1691406306745,734.3810165659382,879.5999503215935,154.0,1,-0.7298767699589752,True
25472,0 days 00:56:17.516000,-727.0,755.0,876.0,162.94444444444446,1,-0.7663587847430623,True
25473,0 days 00:56:17.736000,-616.0,778.0,868.0,177.0,1,-0.7995379113042808,True
25474,0 days 00:56:17.916000,-522.0,788.0,862.0,186.9,1,-0.8228758816059399,True
25475,0 days 00:56:17.936000,-511.27617107668846,788.6266899616699,861.2473023974607,188.0,1,-0.8370294374944635,True
25476,0 days 00:56:18.096000,-427.0,791.0,855.0,194.22222222222223,1,-0.851979173924834,True
25477,0 days 00:56:18.275000,-333.0,788.0,849.0,201.18333582222223,1,-0.8634140420501794,True
25478,0 days 00:56:18.296000,-314.6717715793612,785.9500274327154,847.685151252833,202.0,1,-0.8733136883872901,True
25479,0 days 00:56:18.535000,-43.0,745.0,827.0,207.9750016,1,-0.8780217839488903,True
25480,0 days 00:56:18.536000,-42.23766523594255,744.8672630846401,826.9430856500619,208.0,1,-0.8946646697619424,True
25481,0 days 00:56:18.736000,19.549761613604833,729.7599196574236,822.9421294341832,211.0,1,-0.9063381439486332,True
25482,0 days 00:56:18.815000,38.0,723.0,822.0,214.62083626666666,1,-0.9168729664901873,True
25483,0 days 00:56:18.976000,112.58355449879396,700.0214537130812,817.5113790865454,222.0,1,-0.9312055622474188,True
25484,0 days 00:56:19.095000,203.0,668.0,812.0,224.9750016,1,-0.9268516509186624,True
25485,0 days 00:56:19.176000,282.9986764867982,636.1819373155449,807.1901075896706,227.0,1,-0.9291994108656147,True
25486,0 days 00:56:19.295000,402.0,586.0,800.0,229.71070721301763,1,-0.9214876633824839,True
25487,0 days 00:56:19.615000,537.7663414060515,515.6578484506407,790.8817896728494,237.0,1,-0.908887995281763,True
25488,0 days 00:56:19.775000,597.0,475.0,788.0,240.2,1,-0.9046190346297578,True
25489,0 days 00:56:19.955000,698.0,407.0,784.0,243.8,1,-0.8814772645990698,True
25490,0 days 00:56:20.015000,731.3720854514655,383.2848025429407,782.439966814466,245.0,1,-0.8758577853447582,True
25491,0 days 00:56:20.215000,838.0,299.0,777.0,248.33333333333334,1,-0.8435293150249471,True
25492,0 days 00:56:20.355000,915.0,228.0,774.0,250.66666666666666,1,-0.8165920867208568,True
25493,0 days 00:56:20.375000,925.5340351876213,218.00642399673478,773.6178626928337,251.0,1,-0.8089265175083146,True
25494,0 days 00:56:20.535000,1004.0332102015612,141.98542400510408,770.8831373338352,254.0,1,-0.7734480437410025,True
25495,0 days 00:56:20.635000,1052.0,94.0,769.0,255.0,1,-0.7558653635127286,True
25496,0 days 00:56:20.735000,1100.9338184864655,43.88518190177954,766.7791974216738,256.0,1,-0.7360985488386529,True
25497,0 days 00:56:20.815000,1139.0,4.0,765.0,257.6,1,-0.7132556898204264,True
25498,0 days 00:56:20.935000,1192.9225322694242,-54.37780791200833,762.5875466654435,260.0,1,-0.6697302563046362,True
25499,0 days 00:56:20.995000,1226.0,-92.0,761.0,260.9,1,-0.6535266594084446,True
25500,0 days 00:56:21.135000,1330.6025033760309,-215.53542955975962,755.540918040356,263.0,1,-0.5890308845402509,True
25501,0 days 00:56:21.235000,1398.0,-296.0,752.0,264.6666666666667,1,-0.5610022520548626,True
25502,0 days 00:56:21.375000,1448.9165621648528,-356.3919764661766,749.5503302093216,267.0,1,-0.5302135750515188,True
25503,0 days 00:56:21.575000,1496.0,-411.0,748.0,269.14285714285717,1,-0.5147876901333324,True
25504,0 days 00:56:21.655000,1533.354540480553,-454.5112866287579,746.6678274898626,270.0,1,-0.48343699421643094,False
25505,0 days 00:56:21.735000,1575.0,-503.0,745.0,271.2,1,-0.4682636777305017,False
25506,0 days 00:56:21.855000,1633.1073773122748,-570.4618412304868,742.0533354335316,273.0,1,-0.437404108809466,False
25507,0 days 00:56:21.935000,1674.0,-618.0,740.0,274.1111111111111,1,-0.4211891937088923,False
25508,0 days 00:56:22.215000,1843.1582601686287,-815.7919390417649,733.2812246477617,278.0,1,-0.37379674945568026,False
25509,0 days 00:56:22.275000,1874.0,-852.0,732.0,278.75,1,-0.35904188010614696,False
25510,0 days 00:56:22.375000,1916.7528015949465,-902.3260255313891,730.0153118758155,280.0,1,-0.3334677397510043,False
25511,0 days 00:56:22.615000,2016.0,-1019.0,725.0,282.0,1,-0.3055932809666379,False
25512,0 days 00:56:22.775000,2130.685009514635,-1152.555948413103,720.2073661079396,285.0,1,-0.2762418636813367,False
25513,0 days 00:56:22.856000,2186.0,-1217.0,718.0,285.2892854857143,1,-0.24617351422290223,False
25514,0 days 00:56:23.055000,2280.065934360624,-1327.1660842485917,714.4507204743978,286.0,1,-0.21848544703815873,False
25515,0 days 00:56:23.276000,2362.0,-1423.0,711.0,288.50566857225124,1,-0.20928617316011358,False
25516,0 days 00:56:23.476000,2462.0,-1539.0,706.0,290.7732425974774,1,-0.1874416723132146,False
25517,0 days 00:56:23.496000,2473.113070837772,-1552.0286086041492,705.4899185550851,291.0,1,-0.17110853553373315,False
25518,0 days 00:56:23.596000,2530.0,-1619.0,703.0,291.4166666666667,1,-0.16530505381214708,False
25519,0 days 00:56:23.736000,2604.6008632089747,-1706.2915436470255,699.7081286701759,292.0,1,-0.12108615564851703,False
25520,0 days 00:56:23.856000,2667.0,-1779.0,697.0,292.375,1,-0.12213379387360689,False
25521,0 days 00:56:24.036000,2763.0,-1891.0,693.0,292.9375,1,-0.12148896349874355,False
25522,0 days 00:56:24.056000,2773.5517343807287,-1903.355965752364,692.5509246039312,293.0,1,-0.13032338578194988,False
25523,0 days 00:56:24.296000,2901.0,-2053.0,687.0,296.0,1,-0.12253124704951765,False
25524,0 days 00:56:24.456000,2996.319506547132,-2164.138794321833,683.0479028253675,298.0,1,-0.11872424320429838,False
25525,0 days 00:56:24.536000,3046.0,-2222.0,681.0,298.0,1,-0.1217829309566124,False
25526,0 days 00:56:24.736000,3173.002981152982,-2370.126562131398,675.6871103487621,298.0,1,-0.11662503454865837,False
25527,0 days 00:56:24.935000,3284.0,-2500.0,671.0,299.49250048,1,-0.13379640637153647,False
25528,0 days 00:56:25.136000,3364.152988586827,-2594.3618701786627,667.5842377731054,301.0,1,-0.1460108041003214,False
25529,0 days 00:56:25.215000,3398.0,-2634.0,666.0,301.2194446222222,1,-0.1571720340106896,False
25530,0 days 00:56:25.415000,3502.0,-2755.0,661.0,301.77500017777777,1,-0.1685511001504674,False
25531,0 days 00:56:25.496000,3546.0857661600926,-2806.3092150606535,659.299508532364,302.0,1,-0.18032056384918954,False
25532,0 days 00:56:25.655000,3633.0,-2908.0,656.0,302.79500032,1,-0.1841604886488692,False
25533,0 days 00:56:25.696000,3655.3725260112387,-2934.414388431355,654.8813919506025,303.0,1,-0.20670055496894332,False
25534,0 days 00:56:25.795000,3709.0,-2998.0,652.0,303.3535716571429,1,-0.21808235316269478,False
25535,0 days 00:56:25.976000,3804.4630835188145,-3111.21333586569,647.9926099500094,304.0,1,-0.22643774239611775,False
25536,0 days 00:56:26.095000,3883.0,-3204.0,645.0,304.66295288459895,1,-0.25687005699408344,False
25537,0 days 00:56:26.335000,4081.0,-3437.0,637.0,306.0,1,-0.29673760401831556,False
25538,0 days 00:56:26.695000,4214.0,-3593.0,631.0,307.0,1,-0.3316842380203083,False
25539,0 days 00:56:26.855000,4300.0538391159525,-3694.7845111606102,627.0929395463808,307.0,1,-0.4369387725099305,False
25540,0 days 00:56:26.935000,4346.0,-3749.0,625.0,306.77777777777777,1,-0.46359961333896277,False
25541,0 days 00:56:27.175000,4479.0,-3905.0,619.0,306.1111111111111,1,-0.5125448840378714,True
25542,0 days 00:56:27.215000,4503.957222484008,-3934.3019000238273,617.9675998985442,306.0,1,-0.5274294312556118,True
25543,0 days 00:56:27.415000,4633.0,-4086.0,613.0,306.45454545454544,1,-0.5796252224634113,True
25544,0 days 00:56:27.655000,4746.1140606791105,-4218.691657185896,608.8917138520063,307.0,1,-0.6256838934521107,True
25545,0 days 00:56:27.695000,4766.0,-4242.0,608.0,306.8,1,-0.6435826984466145,True
25546,0 days 00:56:27.855000,4854.157576685571,-4345.306380790277,603.5408610185599,306.0,1,-0.7167469245750943,True
25547,0 days 00:56:27.875000,4865.0,-4358.0,603.0,305.75,1,-0.730529576795927,True
25548,0 days 00:56:28.015000,4936.247286424736,-4441.302717310352,599.678554018128,304.0,1,-0.7804627213477979,True
25549,0 days 00:56:28.175000,5024.133129142628,-4544.226295257927,596.0922288383822,305.0,1,-0.836395144350247,True
25550,0 days 00:56:28.215000,5052.0,-4577.0,595.0,304.9230769230769,1,-0.8726274749721268,True
25551,0 days 00:56:28.415000,5208.0,-4761.0,589.0,304.53846153846155,1,-0.9797599194757858,True
25552,0 days 00:56:28.695000,5319.347503002205,-4892.777736642255,584.3703497357668,304.0,1,-1.0924524117834642,True
25553,0 days 00:56:28.715000,5328.0,-4903.0,584.0,304.0,1,-1.1093113418301002,True
25554,0 days 00:56:28.935000,5448.0,-5045.0,579.0,304.0,1,-1.284100718598672,True
25555,0 days 00:56:29.015000,5494.194100091222,-5100.391374196791,577.2279228656804,304.0,1,-1.3551492924235438,True
25556,0 days 00:56:29.255000,5625.4616622911135,-5259.480909602637,572.3891204830984,302.0,1,-1.5005251917470477,True
25557,0 days 00:56:29.275000,5635.0,-5271.0,572.0,301.8333333333333,1,-1.6418075150089966,True
25558,0 days 00:56:29.456000,5724.0,-5383.0,568.0,300.3250005333333,1,-1.8054111157402613,True
25559,0 days 00:56:29.495000,5752.097774367832,-5422.016387800901,566.6981941198047,300.0,1,-1.876673109844035,True
25560,0 days 00:56:29.616000,5849.0,-5567.0,562.0,298.8656256,1,-2.001135552362023,True
25561,0 days 00:56:29.815000,5933.472875359698,-5757.749069534534,555.8424656388908,297.0,1,-2.1421842604808763,True
25562,0 days 00:56:29.975000,5950.015945698193,-5868.274975821649,552.3692809821789,295.0,1,-2.300046880338588,True
25563,0 days 00:56:30.056000,5956.0,-5915.0,551.0,294.3278011824866,1,-2.350712192727829,True
25564,0 days 00:56:30.216000,5963.619616613606,-5989.251568753223,549.0597561771751,293.0,1,-2.3840469553083206,True
25565,0 days 00:56:30.416000,5961.0,-6083.0,547.0,273.0,1,-2.4668810191277015,True
25566,0 days 00:56:30.496000,5954.559993610673,-6133.786008317595,545.8912603556814,265.0,1,-2.507974373053367,True
25567,0 days 00:56:30.736000,5920.0,-6313.0,543.0,246.0,1,-2.5718736993743097,True
25568,0 days 00:56:30.856000,5898.0,-6398.0,543.0,234.0,1,-2.6013409062484625,True
25569,0 days 00:56:31.016000,5869.63201952518,-6499.454494748202,542.4107237255467,218.0,1,-2.6395561088165493,True
25570,0 days 00:56:31.116000,5854.0,-6551.0,542.0,211.4375,1,-2.648320832335665,True
25571,0 days 00:56:31.336000,5823.581109132752,-6632.989797322336,541.9367483696466,197.0,1,-2.666741230306535,True
25572,0 days 00:56:31.356000,5820.0,-6641.0,542.0,196.33333333333334,1,-2.654969465696696,True
25573,0 days 00:56:31.575000,5769.0,-6740.0,543.0,189.0333312,1,-2.670536365774001,True
25574,0 days 00:56:31.675000,5741.0,-6780.0,543.0,185.69999786666668,1,-2.643922192457713,True
25575,0 days 00:56:31.696000,5733.589001711771,-6788.733788225083,543.0618711166238,185.0,1,-2.625979662540769,True
25576,0 days 00:56:31.856000,5656.460022351057,-6861.973141676272,544.5783367064467,177.0,1,-2.6079287180936985,True
25577,0 days 00:56:31.975000,5594.0,-6912.0,546.0,172.041664,1,-2.5897218741052397,True
25578,0 days 00:56:32.096000,5536.240183776593,-6952.326298460047,547.2061519731046,167.0,1,-2.5569270952096765,True
25579,0 days 00:56:32.955000,5215.0,-7008.0,553.0,166.14014013116218,1,-2.524230789594647,True
25580,0 days 00:56:33.095000,5152.172541889283,-7003.044211689919,554.8354430287387,166.0,1,-2.4959111463223542,True
25581,0 days 00:56:33.235000,5086.0,-6993.0,557.0,167.4,1,-2.4458464901486443,True
25582,0 days 00:56:33.295000,5057.108341059301,-6986.189227956472,558.0196267513386,168.0,1,-2.430847838293553,True
25583,0 days 00:56:33.415000,5001.0,-6969.0,560.0,168.6,1,-2.381490721984745,True
25584,0 days 00:56:33.495000,4967.890260685985,-6955.992500405981,561.0162094547011,169.0,1,-2.338773895377098,True
25585,0 days 00:56:33.575000,4936.0,-6941.0,562.0,170.8,1,-2.32435727934995,True
25586,0 days 00:56:33.835000,4828.0,-6874.0,566.0,176.65,1,-2.259848578617016,True
25587,0 days 00:56:33.895000,4804.615606441068,-6855.241487315485,566.7387668852352,178.0,1,-2.24957700613529,True
25588,0 days 00:56:34.015000,4760.0,-6814.0,568.0,183.4,1,-2.2052433484002987,True
25589,0 days 00:56:34.095000,4731.253160704869,-6783.434709355025,568.8272367064523,187.0,1,-2.1532835053324737,True
25590,0 days 00:56:34.215000,4690.0,-6734.0,570.0,190.6,1,-2.121276343708634,True
25591,0 days 00:56:34.295000,4664.131595260111,-6699.603943984132,570.6804577922475,193.0,1,-2.030138674592492,True
25592,0 days 00:56:34.455000,4614.0,-6626.0,572.0,193.0,1,-1.918860903494053,True
25593,0 days 00:56:34.495000,4601.053021510364,-6606.141658787559,572.3870401629363,193.0,1,-1.9355569741867942,True
25594,0 days 00:56:34.755000,4517.0,-6471.0,575.0,203.83333333333334,1,-1.7622189874297256,True
25595,0 days 00:56:34.855000,4488.92136007236,-6423.74082408306,575.5839015691098,208.0,1,-1.689090139250371,True
25596,0 days 00:56:34.915000,4470.0,-6391.0,576.0,209.6875,1,-1.558478128638961,True
25597,0 days 00:56:35.175000,4365.0,-6204.0,579.0,217.0,1,-1.4004415583767238,True
25598,0 days 00:56:35.415000,4306.796744411686,-6101.190520789783,580.7487212610436,223.0,1,-1.2496254721494688,True
25599,0 days 00:56:35.575000,4273.0,-6042.0,582.0,223.66666666666666,1,-1.1802896245911034,True
25600,0 days 00:56:35.655000,4252.509678123842,-6005.9777764482715,582.852925563394,224.0,1,-1.0491972333453625,True
25601,0 days 00:56:35.735000,4223.0,-5956.0,584.0,226.57142857142858,1,-0.8932849231499093,True
25602,0 days 00:56:35.935000,4107.0,-5769.0,588.0,233.0,1,-0.7076506770237561,True
25603,0 days 00:56:36.175000,4063.392607325882,-5704.701695779355,589.7164166884425,237.0,1,-0.6429847690480086,True
25604,0 days 00:56:36.216000,4055.0,-5694.0,590.0,237.43928502857142,1,-0.5982666616199707,True
25605,0 days 00:56:36.455000,3961.6994549002225,-5573.771653689357,592.6963668628746,240.0,1,-0.489746685456182,False
25606,0 days 00:56:36.596000,3898.0,-5496.0,594.0,241.17012426094587,1,-0.4235512876955628,False
25607,0 days 00:56:36.696000,3857.2530199481707,-5450.106330147933,594.4473710743389,242.0,1,-0.3068733629343194,False
25608,0 days 00:56:36.776000,3815.0,-5410.0,595.0,242.33333333333334,1,-0.2508172046427338,False
25609,0 days 00:56:36.936000,3687.2847333444283,-5307.625835058722,597.4356439677971,243.0,1,-0.1885878195149429,False
25610,0 days 00:56:36.976000,3659.0,-5286.0,598.0,242.83333333333334,1,-0.1520179895932416,False
25611,0 days 00:56:37.176000,3579.0964321690844,-5228.654053576634,599.5465448862143,242.0,1,-0.11542985082370333,False
25612,0 days 00:56:37.356000,3495.0,-5202.0,602.0,241.1,1,-0.09349901960624345,False
25613,0 days 00:56:37.376000,3479.6393868355417,-5197.979527489633,602.4876092831819,241.0,1,-0.051805638431960545,False
25614,0 days 00:56:37.616000,3246.0,-5145.0,610.0,240.33333333333334,1,-0.07081234403234496,False
25615,0 days 00:56:37.736000,3162.124534604481,-5132.98045762018,612.356694903715,240.0,1,-0.0786468923673195,False
25616,0 days 00:56:37.976000,3046.3560695503575,-5130.564062545949,615.5598322031466,239.0,1,-0.08285758168320817,False
25617,0 days 00:56:37.996000,3035.0,-5130.0,616.0,239.16666666666666,1,-0.052034142669497616,False
25618,0 days 00:56:38.175000,2921.0,-5120.0,621.0,240.65833386666668,1,-0.06053880949820624,False
25619,0 days 00:56:38.216000,2894.1877967505734,-5115.8491146555225,622.176693953555,241.0,1,0.013309379433665714,False
25620,0 days 00:56:38.355000,2806.0,-5097.0,626.0,237.0906232,1,0.005368919935732066,False
25621,0 days 00:56:38.536000,2705.8728446016244,-5064.511348048351,630.616299732378,232.0,1,-0.005551834070082739,False
25622,0 days 00:56:38.635000,2643.0,-5031.0,634.0,229.87857005714287,1,-0.007742704580297061,False
25623,0 days 00:56:38.815000,2511.0,-4940.0,642.0,226.0214272,1,-0.009117351974614994,False
25624,0 days 00:56:38.816000,2510.409529604115,-4939.557301954121,642.0385746436124,226.0,1,-0.006039457886126207,False
25625,0 days 00:56:39.016000,2440.55701380836,-4878.659820365197,647.4060836281689,216.0,1,-0.0024580042970370848,False
25626,0 days 00:56:39.135000,2409.0,-4839.0,650.0,214.21499904,1,0.00040037641053230415,False
25627,0 days 00:56:39.216000,2381.089699612065,-4801.655080939475,651.9963829902202,213.0,1,0.0062351150105036685,False
25628,0 days 00:56:39.335000,2339.0,-4739.0,655.0,212.40499968,1,0.014623003849039987,False
25629,0 days 00:56:39.416000,2317.2604611834463,-4697.832568261972,656.8470582353796,212.0,1,0.01498412467973209,False
25630,0 days 00:56:39.515000,2296.0,-4648.0,659.0,212.82729843747325,1,0.02775490166523849,False
25631,0 days 00:56:39.715000,2257.0,-4533.0,664.0,214.4986073317246,1,0.05152220693433337,False
25632,0 days 00:56:39.775000,2242.5345853299737,-4484.204485389905,666.191315374719,215.0,1,0.04618959020662228,False
25633,0 days 00:56:40.015000,2182.0,-4269.0,676.0,216.0,1,0.11814183561243621,False
25634,0 days 00:56:40.295000,2157.4903638999504,-4183.898437216032,680.0514478002425,222.0,1,0.11038888299799252,False
25635,0 days 00:56:40.335000,2153.0,-4168.0,681.0,222.66666666666666,1,0.10223950056149486,False
25636,0 days 00:56:40.535000,2118.9173347770293,-4048.597973244163,688.2826088927188,226.0,1,0.10277965796026087,False
25637,0 days 00:56:40.555000,2115.0,-4036.0,689.0,225.75,1,0.07142759936012909,False
25638,0 days 00:56:40.855000,2054.0,-3870.0,697.0,222.0,1,0.09736715522670311,False
25639,0 days 00:56:41.055000,2003.4892604692461,-3781.6628600041986,701.054835191952,216.0,1,0.10598388113148936,False
25640,0 days 00:56:41.095000,1978.0,-3752.0,703.0,215.0,1,0.07930955050409233,False
25641,0 days 00:56:41.215000,1873.0,-3641.0,711.0,212.0,1,-0.01111480480376496,False
25642,0 days 00:56:41.255000,1846.3105507933387,-3614.015443619164,712.9622291553665,211.0,1,-0.031978135051777094,False
25643,0 days 00:56:41.495000,1795.7431197206936,-3576.6694447102163,715.5125681437792,203.0,1,-0.09609259218006905,False
25644,0 days 00:56:41.555000,1783.0,-3570.0,716.0,202.5,1,-0.1079330931799384,False
25645,0 days 00:56:41.735000,1716.1692104689123,-3526.911097622034,719.3331762061806,201.0,1,-0.19745339779649865,False
25646,0 days 00:56:41.895000,1618.0,-3479.0,724.0,198.0,1,-0.2876339335412119,False
25647,0 days 00:56:42.055000,1484.3584792073227,-3438.9406873434345,729.6110248324712,197.0,1,-0.36421936255541,False
25648,0 days 00:56:42.135000,1428.0,-3425.0,732.0,197.0,1,-0.3970689214561633,False
25649,0 days 00:56:42.215000,1388.6224370493944,-3416.4426462069423,733.7868151891481,197.0,1,-0.431245491298377,False
